element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes
C,I,1158.324,0.0,-2.183,VALD3,,0.0,0.0,0.0,0.913,1.0,False,1,
C,I,1158.397,0.0054,-2.084,VALD3,,0.0,0.0,0.0,0.913,1.0,False,1,
C,I,1158.492,0.0054,-3.42,VALD3,,0.0,0.0,0.0,0.849,1.0,False,1,
C,I,1158.544,0.002,-2.693,VALD3,,0.0,0.0,0.0,0.905,1.0,False,1,
C,I,1158.674,0.002,-2.356,VALD3,,0.0,0.0,0.0,0.911,1.0,False,1,
C,I,1158.73,0.002,-2.289,VALD3,,0.0,0.0,0.0,0.912,1.0,False,1,
Fe,II,1158.84083,1.0405,-2.952,VALD3,,8.43,-6.48,-7.929,0.082,1.0,False,1,
C,I,1158.907,0.0054,-2.296,VALD3,,0.0,0.0,0.0,0.911,1.0,False,1,
C,I,1158.97,0.0054,-1.992,VALD3,,0.0,0.0,0.0,0.914,1.0,False,1,
P,II,1159.08647,0.0582,-0.417,VALD3,,9.19,-5.99,-7.78,0.065,1.0,False,1,
C,I,1159.09,0.0054,-3.447,VALD3,,0.0,0.0,0.0,0.844,0.682513,False,1,
Fe,II,1159.25926,0.0828,-4.377,VALD3,,8.62,-6.54,-7.77,0.056,0.995109,False,1,
Fe,II,1159.33878,0.9863,-1.136,VALD3,,8.53,-6.49,-7.923,0.823,0.193668,False,1,
Ni,II,1159.50969,1.1568,-1.87,VALD3,,7.19,-6.59,-7.95,0.132,0.304247,False,1,
N,I,1159.82,0.0,-4.4,VALD3,,0.0,0.0,0.0,0.551,0.223061,False,2,
Cu,I,1159.89393,0.0,-1.404,VALD3,,7.71,-3.05,-6.86,0.164,0.656021,False,2,
Fe,II,1160.09127,1.0762,-1.842,VALD3,,8.63,-6.48,-7.92,0.489,0.182044,False,1,
Fe,II,1160.18607,0.9863,-3.129,VALD3,,8.65,-6.49,-7.921,0.068,0.506279,False,1,
C,I,1160.51,0.002,-3.481,VALD3,,0.0,0.0,0.0,0.838,0.037393,False,1,
C,I,1160.88,0.0054,-3.92,VALD3,,0.0,0.0,0.0,0.716,0.261904,False,1,
N,I,1160.94,0.0,-4.958,VALD3,,0.0,0.0,0.0,0.261,0.662549,False,2,
S,I,1161.28655,1.1454,-2.372,VALD3,,6.96,-3.83,-6.94,0.413,1.0,False,1,
S,I,1161.28655,1.1454,-2.66,VALD3,,6.93,-3.88,-6.94,0.274,1.0,False,1,
S,I,1161.3312,0.0,-3.158,VALD3,,8.56,-4.91,-7.42,0.763,1.0,False,1,
S,I,1161.34368,0.0491,-1.17,VALD3,,8.53,-5.14,-7.43,0.914,1.0,False,1,
Fe,II,1161.44112,0.0828,-4.221,VALD3,,8.61,-6.54,-7.775,0.076,1.0,False,1,
S,I,1161.59513,0.0491,-1.374,VALD3,,8.5,-5.14,-7.44,0.912,0.450771,False,1,
S,I,1161.74897,0.0491,-1.244,VALD3,,8.48,-5.14,-7.44,0.913,0.456463,False,1,
S,I,1161.97473,1.1454,-0.906,VALD3,,8.09,-3.29,-6.95,0.886,1.0,False,1,
Fe,II,1161.99804,1.0762,-2.074,VALD3,,8.63,-6.48,-7.923,0.367,1.0,False,1,
Mn,II,1162.01458,0.0,-0.957,VALD3,,8.04,-6.25,-7.62,0.855,1.0,False,3,
Fe,II,1162.33386,1.0969,-1.878,VALD3,,8.63,-6.48,-7.92,0.456,0.102538,False,1,
Ni,II,1162.7523,1.0407,-1.887,VALD3,,7.15,-6.59,-7.94,0.177,0.020195,False,1,
S,I,1163.2047,1.1454,-3.312,VALD3,,8.49,-4.11,-7.26,0.081,0.576437,False,1,
Mn,II,1163.32556,0.0,-1.106,VALD3,,8.01,-6.21,-7.62,0.828,0.12608,False,3,
S,I,1163.34002,1.1454,-3.247,VALD3,,8.5,-4.13,-7.24,0.09,1.0,False,1,
Ni,II,1163.64557,1.2542,-2.104,VALD3,,7.11,-6.6,-7.95,0.057,0.235608,False,1,
N,I,1163.884,2.3835,-1.402,VALD3,,0.0,0.0,0.0,0.466,0.948764,False,2,
S,I,1163.99625,0.0711,-1.292,VALD3,,8.5,-5.14,-7.44,0.912,1.0,False,1,
Fe,II,1164.07657,0.107,-4.291,VALD3,,8.61,-6.54,-7.775,0.058,1.0,False,1,
Mn,II,1164.20377,0.0,-2.775,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.20391,0.0,-3.319,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.20431,0.0,-2.872,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.20445,0.0,-2.61,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.2047,0.0,-3.286,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.20536,0.0,-2.508,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.2056,0.0,-2.524,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.20594,0.0,-3.432,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
N,I,1164.206,2.3835,-2.615,VALD3,,0.0,0.0,0.0,0.061,1.0,False,2,
Mn,II,1164.20686,0.0,-2.256,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.2072,0.0,-2.534,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.20764,0.0,-3.797,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.20882,0.0,-2.056,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.20926,0.0,-2.7,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Mn,II,1164.21124,0.0,-1.888,VALD3,,7.94,-6.24,-7.64,0.764,1.0,False,3,
Fe,II,1164.24801,1.0969,-3.004,VALD3,,8.63,-6.48,-7.922,0.064,1.0,False,1,
Ni,II,1164.27935,1.0407,-1.279,VALD3,,7.53,-6.6,-7.94,0.449,1.0,False,1,
N,I,1164.325,2.3846,-1.64,VALD3,,0.0,0.0,0.0,0.348,1.0,False,2,
Fe,II,1164.47456,0.9863,-1.389,VALD3,,8.62,-6.45,-7.932,0.748,1.0,False,1,
Ni,II,1164.57521,1.68,-1.012,VALD3,,7.82,-6.19,-7.93,0.184,0.900632,False,1,
Fe,II,1164.86739,2.8067,-0.592,VALD3,,8.74,-5.87,-7.63,0.094,0.098255,False,1,
Fe,II,1165.23732,1.0405,-1.823,VALD3,,8.53,-6.49,-7.923,0.524,0.007861,False,1,
