element,ion,wavelength_air_A,log_gf,vald_gf_source,gf_dex,gf_citation
Fe,1,3000.00258,-4.771,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3000.06155,-1.608,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3000.13907,-4.196,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3000.20543,-2.596,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3000.24433,-1.179,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3000.26567,-5.642,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3000.2753,-3.42,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3000.28728,-3.779,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3000.29079,-2.359,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3000.35139,-4.478,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3000.3785,-2.715,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3000.38634,-1.752,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3000.4682,-2.266,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3000.57654,-1.464,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3000.88198,-4.347,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3000.96306,-3.481,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3001.05008,-2.527,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3001.13279,-1.277,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,2,3001.31561,-1.555,K13,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
