# linelist_alpha_cen_a.csv — alpha Cen A per-system VALD3 linelist (RYA-300)
# Generated: 2026-06-15  by scripts/intake_build_alpha_cen.py
# Stellar params: Teff=5792 K, logg=4.3, [Fe/H]=+0.20, vmic=1.1 km/s
#   (Heiter+2015 GBS Paper I / Jofre+2014 GBS Paper III)
# HFS splitting: ON (Codex permanent convention — all extractions, RYA-300)
# Detection threshold (central_depth): 0.05
# Extractions merged (all HFS-ON):
#   uv1     : vald_alpha_cen_a_uv1_raw.txt (RyanSchmitt.019551.gz), 1150-2000 A
#   uv2     : vald_alpha_cen_a_uv2_raw.txt (RyanSchmitt.019552.gz), 2000-3780 A
#   optical : vald_alpha_cen_a_optical_raw.txt (RyanSchmitt.019553.gz), 3780-6910 A
#   nir     : vald_alpha_cen_a_nir_raw.txt (RyanSchmitt.019554.gz), 6910-17000 A
# Wavelength convention: 'vacuum' for lambda < 2000 A (VALD delivers vacuum
#   below 2000 A despite the WL_air label), 'air' for lambda >= 2000 A.
#   NO vacuum->air conversion at build — done at the spectrum-matching boundary.
# Seam duplicates dropped at band endpoints: 102
# nist_grade empty pending NIST cross-validation; blend_flag=False everywhere.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes,extraction_source,wavelength_convention
V,II,1692.12211,1.0713,-0.9,VALD3,,8.44,-6.41,-7.85,0.356,False,0,,uv1_019551,vacuum
CO,I,1692.12726,2.1099,-1.375,VALD3,,8.05,0.0,0.0,0.273,False,0,,uv1_019551,vacuum
CO,I,1692.14415,2.7889,-1.449,VALD3,,8.05,0.0,0.0,0.051,False,0,,uv1_019551,vacuum
CO,I,1692.15188,1.2425,-2.733,VALD3,,8.05,0.0,0.0,0.138,False,0,,uv1_019551,vacuum
CO,I,1692.18825,2.1099,-1.713,VALD3,,8.05,0.0,0.0,0.148,False,0,,uv1_019551,vacuum
CO,I,1692.20056,1.7152,-1.575,VALD3,,8.05,0.0,0.0,0.401,False,0,,uv1_019551,vacuum
CO,I,1692.20142,1.7152,-1.9,VALD3,,8.05,0.0,0.0,0.24,False,0,,uv1_019551,vacuum
CO,I,1692.29793,1.7824,-1.784,VALD3,,8.05,0.0,0.0,0.26,False,0,,uv1_019551,vacuum
Fe,I,1692.30959,0.0873,-4.112,VALD3,,7.86,-4.18,-7.25,0.794,False,0,,uv1_019551,vacuum
CO,I,1692.31483,1.3969,-0.971,VALD3,,8.05,0.0,0.0,0.85,False,0,,uv1_019551,vacuum
CO,I,1692.33831,2.1562,-1.591,VALD3,,8.05,0.0,0.0,0.171,False,0,,uv1_019551,vacuum
Fe,I,1692.34438,0.0,-3.775,VALD3,,7.97,-4.8,-7.26,0.904,False,0,,uv1_019551,vacuum
Mn,II,1692.34461,1.8094,-2.492,VALD3,,8.49,-6.58,-7.87,0.213,False,0,,uv1_019551,vacuum
Fe,I,1692.40628,0.0516,-4.389,VALD3,,8.15,-3.43,-7.17,0.703,False,0,,uv1_019551,vacuum
P,I,1692.456,2.3245,-1.15,VALD3,,0.0,0.0,0.0,0.667,False,0,,uv1_019551,vacuum
CO,I,1692.47436,1.5456,-0.668,VALD3,,8.05,0.0,0.0,0.879,False,0,,uv1_019551,vacuum
Fe,II,1692.5004,0.2322,-2.491,VALD3,,8.57,-6.64,-7.811,0.989,False,0,,uv1_019551,vacuum
CO,I,1692.51074,2.1183,-1.734,VALD3,,8.05,0.0,0.0,0.14,False,0,,uv1_019551,vacuum
CO,I,1692.51819,1.1808,-2.534,VALD3,,8.05,0.0,0.0,0.232,False,0,,uv1_019551,vacuum
CO,I,1692.52592,2.7953,-1.42,VALD3,,8.05,0.0,0.0,0.054,False,0,,uv1_019551,vacuum
CO,I,1692.53137,2.1183,-1.352,VALD3,,8.05,0.0,0.0,0.28,False,0,,uv1_019551,vacuum
CO,I,1692.53595,1.1808,-2.863,VALD3,,8.05,0.0,0.0,0.123,False,0,,uv1_019551,vacuum
Fe,II,1692.54876,0.3013,-3.389,VALD3,,8.49,-6.6,-7.808,0.956,False,0,,uv1_019551,vacuum
CO,I,1692.59496,1.2562,-2.719,VALD3,,8.05,0.0,0.0,0.138,False,0,,uv1_019551,vacuum
Cu,I,1692.67934,1.3889,-2.005,VALD3,,7.42,-4.86,-7.49,0.185,False,0,,uv1_019551,vacuum
CO,I,1692.7365,1.7278,-1.56,VALD3,,8.05,0.0,0.0,0.403,False,0,,uv1_019551,vacuum
CO,I,1692.7365,1.7278,-1.884,VALD3,,8.05,0.0,0.0,0.244,False,0,,uv1_019551,vacuum
Ti,II,1692.7655,0.0488,-3.429,VALD3,,8.52,-6.34,-7.83,0.17,False,0,,uv1_019551,vacuum
CO,I,1692.77604,1.4206,-0.418,VALD3,,8.05,0.0,0.0,0.942,False,0,,uv1_019551,vacuum
CO,I,1692.78493,1.7972,-1.771,VALD3,,8.05,0.0,0.0,0.258,False,0,,uv1_019551,vacuum
CO,I,1692.83106,1.4206,-0.877,VALD3,,8.05,0.0,0.0,0.867,False,0,,uv1_019551,vacuum
CO,I,1692.83135,2.1667,-1.528,VALD3,,8.05,0.0,0.0,0.188,False,0,,uv1_019551,vacuum
CO,I,1692.85055,1.2704,-2.998,VALD3,,8.05,0.0,0.0,0.075,False,0,,uv1_019551,vacuum
CO,I,1692.93079,2.8022,-1.393,VALD3,,8.05,0.0,0.0,0.057,False,0,,uv1_019551,vacuum
CO,I,1692.9477,1.1922,-2.517,VALD3,,8.05,0.0,0.0,0.234,False,0,,uv1_019551,vacuum
CO,I,1692.94914,2.1271,-1.33,VALD3,,8.05,0.0,0.0,0.286,False,0,,uv1_019551,vacuum
CO,I,1692.94914,2.1271,-1.664,VALD3,,8.05,0.0,0.0,0.158,False,0,,uv1_019551,vacuum
CO,I,1693.02882,1.1922,-2.844,VALD3,,8.05,0.0,0.0,0.124,False,0,,uv1_019551,vacuum
V,II,1693.11223,1.0963,-0.798,VALD3,,8.44,-6.41,-7.85,0.393,False,0,,uv1_019551,vacuum
CO,I,1693.15265,1.2704,-3.016,VALD3,,8.05,0.0,0.0,0.07,False,0,,uv1_019551,vacuum
Fe,I,1693.20386,0.1101,-3.437,VALD3,,7.45,-3.89,-7.19,0.932,False,0,,uv1_019551,vacuum
CO,I,1693.28511,1.7408,-1.868,VALD3,,8.05,0.0,0.0,0.244,False,0,,uv1_019551,vacuum
CO,I,1693.28597,1.7408,-1.545,VALD3,,8.05,0.0,0.0,0.403,False,0,,uv1_019551,vacuum
Si,I,1693.293,0.0,-1.06,VALD3,,8.47,-4.27,-7.23,0.993,False,0,,uv1_019551,vacuum
Co,II,1693.32338,0.5654,-4.303,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.32388,0.5654,-4.4,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.32447,0.5654,-4.224,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.32487,0.5654,-4.546,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.3257,0.5654,-4.041,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.32629,0.5654,-4.525,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.32634,0.5654,-4.78,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.32742,0.5654,-3.982,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
CO,I,1693.32812,1.2041,-2.974,VALD3,,8.05,0.0,0.0,0.093,False,0,,uv1_019551,vacuum
Co,II,1693.32825,0.5654,-4.107,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.32831,0.5655,-5.198,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.32962,0.5655,-4.015,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.33069,0.5655,-3.836,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.33232,0.5655,-4.198,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.33363,0.5655,-3.629,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
Co,II,1693.33705,0.5655,-3.458,VALD3,,8.56,-6.56,-7.89,0.183,False,0,,uv1_019551,vacuum
CO,I,1693.35077,1.5719,-0.661,VALD3,,8.05,0.0,0.0,0.873,False,0,,uv1_019551,vacuum
CO,I,1693.36109,2.8095,-1.367,VALD3,,8.05,0.0,0.0,0.06,False,0,,uv1_019551,vacuum
CO,I,1693.3978,2.1363,-1.31,VALD3,,8.05,0.0,0.0,0.291,False,0,,uv1_019551,vacuum
CO,I,1693.3978,2.1363,-1.642,VALD3,,8.05,0.0,0.0,0.162,False,0,,uv1_019551,vacuum
CO,I,1693.39837,1.2041,-2.5,VALD3,,8.05,0.0,0.0,0.236,False,0,,uv1_019551,vacuum
CO,I,1693.3998,1.8124,-1.759,VALD3,,8.05,0.0,0.0,0.255,False,0,,uv1_019551,vacuum
CO,I,1693.42389,1.285,-2.693,VALD3,,8.05,0.0,0.0,0.137,False,0,,uv1_019551,vacuum
Si,I,1693.468,0.0277,-1.81,VALD3,,7.69,-4.4,-7.2,0.993,False,0,,uv1_019551,vacuum
Fe,II,1693.47683,1.6706,-1.469,VALD3,,8.6,-6.56,-7.795,0.964,False,0,,uv1_019551,vacuum
V,II,1693.50218,1.128,-0.616,VALD3,,8.45,-6.41,-7.85,0.469,False,0,,uv1_019551,vacuum
P,I,1693.572,2.3213,-1.49,VALD3,,0.0,0.0,0.0,0.519,False,0,,uv1_019551,vacuum
CO,I,1693.75546,1.4447,-0.41,VALD3,,8.05,0.0,0.0,0.939,False,0,,uv1_019551,vacuum
CO,I,1693.76464,1.4447,-0.723,VALD3,,8.05,0.0,0.0,0.894,False,0,,uv1_019551,vacuum
CO,I,1693.81284,1.2165,-2.809,VALD3,,8.05,0.0,0.0,0.128,False,0,,uv1_019551,vacuum
CO,I,1693.81772,2.8172,-1.343,VALD3,,8.05,0.0,0.0,0.062,False,0,,uv1_019551,vacuum
CO,I,1693.86506,1.7542,-1.853,VALD3,,8.05,0.0,0.0,0.244,False,0,,uv1_019551,vacuum
CO,I,1693.86678,1.7542,-1.53,VALD3,,8.05,0.0,0.0,0.403,False,0,,uv1_019551,vacuum
CO,I,1693.86764,2.146,-1.621,VALD3,,8.05,0.0,0.0,0.165,False,0,,uv1_019551,vacuum
CO,I,1693.86764,2.146,-1.29,VALD3,,8.05,0.0,0.0,0.295,False,0,,uv1_019551,vacuum
CO,I,1693.87883,1.2165,-2.484,VALD3,,8.05,0.0,0.0,0.237,False,0,,uv1_019551,vacuum
CO,I,1693.92043,1.3,-2.68,VALD3,,8.05,0.0,0.0,0.136,False,0,,uv1_019551,vacuum
Fe,II,1693.93719,0.3865,-1.683,VALD3,,8.51,-6.62,-7.81,0.992,False,0,,uv1_019551,vacuum
CO,I,1693.9497,1.828,-1.747,VALD3,,8.05,0.0,0.0,0.252,False,0,,uv1_019551,vacuum
Co,II,1694.02774,1.2166,-4.407,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.02836,1.2166,-3.42,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
P,I,1694.031,1.4086,-0.22,VALD3,,0.0,0.0,0.0,0.982,False,0,,uv1_019551,vacuum
Co,II,1694.03282,1.2166,-4.197,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.03336,1.2166,-3.578,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.03398,1.2166,-4.407,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.03723,1.2166,-4.124,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.03769,1.2166,-3.754,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.03823,1.2166,-4.197,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04097,1.2166,-4.121,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04135,1.2166,-3.953,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04181,1.2166,-4.124,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04405,1.2166,-4.171,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04434,1.2166,-4.177,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04472,1.2166,-4.121,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04647,1.2166,-4.285,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04667,1.2166,-4.42,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04697,1.2166,-4.171,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04821,1.2166,-4.514,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04834,1.2166,-4.65,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04855,1.2166,-4.285,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04934,1.2166,-4.661,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Co,II,1694.04946,1.2166,-4.514,VALD3,,8.82,-6.54,-7.89,0.054,False,0,,uv1_019551,vacuum
Mn,II,1694.22667,1.1745,-3.073,VALD3,,8.68,-6.46,-7.87,0.797,False,0,,uv1_019551,vacuum
Mn,II,1694.22839,1.1745,-2.927,VALD3,,8.68,-6.46,-7.87,0.797,False,0,,uv1_019551,vacuum
Mn,II,1694.2296,1.1745,-3.295,VALD3,,8.68,-6.46,-7.87,0.797,False,0,,uv1_019551,vacuum
Mn,II,1694.23126,1.1745,-3.103,VALD3,,8.68,-6.46,-7.87,0.797,False,0,,uv1_019551,vacuum
Mn,II,1694.23247,1.1745,-2.811,VALD3,,8.68,-6.46,-7.87,0.797,False,0,,uv1_019551,vacuum
Mn,II,1694.2342,1.1745,-3.696,VALD3,,8.68,-6.46,-7.87,0.797,False,0,,uv1_019551,vacuum
Mn,II,1694.23648,1.1745,-2.663,VALD3,,8.68,-6.46,-7.87,0.797,False,0,,uv1_019551,vacuum
Mn,II,1694.23822,1.1745,-2.918,VALD3,,8.68,-6.46,-7.87,0.797,False,0,,uv1_019551,vacuum
Mn,II,1694.24338,1.1745,-2.374,VALD3,,8.68,-6.46,-7.87,0.797,False,0,,uv1_019551,vacuum
Ba,II,1694.276,0.7036,-1.14,VALD3,,0.0,0.0,0.0,0.138,False,0,,uv1_019551,vacuum
CO,I,1694.28033,1.5986,-0.654,VALD3,,8.05,0.0,0.0,0.868,False,0,,uv1_019551,vacuum
P,I,1694.298,2.3245,-1.79,VALD3,,0.0,0.0,0.0,0.376,False,0,,uv1_019551,vacuum
CO,I,1694.2987,2.8253,-1.32,VALD3,,8.05,0.0,0.0,0.064,False,0,,uv1_019551,vacuum
CO,I,1694.29928,1.2293,-2.793,VALD3,,8.05,0.0,0.0,0.128,False,0,,uv1_019551,vacuum
Fe,I,1694.30329,0.0,-4.154,VALD3,,7.98,-4.37,-7.26,0.814,False,0,,uv1_019551,vacuum
CO,I,1694.3653,2.1562,-1.271,VALD3,,8.05,0.0,0.0,0.298,False,0,,uv1_019551,vacuum
CO,I,1694.3653,2.1562,-1.601,VALD3,,8.05,0.0,0.0,0.168,False,0,,uv1_019551,vacuum
CO,I,1694.42703,1.3155,-2.668,VALD3,,8.05,0.0,0.0,0.135,False,0,,uv1_019551,vacuum
CO,I,1694.4299,1.2293,-2.468,VALD3,,8.05,0.0,0.0,0.237,False,0,,uv1_019551,vacuum
CO,I,1694.46407,1.7681,-1.838,VALD3,,8.05,0.0,0.0,0.243,False,0,,uv1_019551,vacuum
P,I,1694.48,1.4105,-1.36,VALD3,,0.0,0.0,0.0,0.907,False,0,,uv1_019551,vacuum
Fe,II,1694.48428,0.2322,-2.391,VALD3,,8.48,-6.61,-7.81,0.99,False,0,,uv1_019551,vacuum
CO,I,1694.48646,1.7681,-1.516,VALD3,,8.05,0.0,0.0,0.401,False,0,,uv1_019551,vacuum
CO,I,1694.57433,1.8441,-1.736,VALD3,,8.05,0.0,0.0,0.249,False,0,,uv1_019551,vacuum
Ca,I,1694.60305,0.0,-3.906,VALD3,,7.1,-4.23,-7.08,0.128,False,0,,uv1_019551,vacuum
Fe,II,1694.68213,0.3865,-2.631,VALD3,,8.47,-6.62,-7.8,0.983,False,0,,uv1_019551,vacuum
CO,I,1694.69638,1.2425,-2.54,VALD3,,8.05,0.0,0.0,0.2,False,0,,uv1_019551,vacuum
CO,I,1694.78254,2.1667,-1.581,VALD3,,8.05,0.0,0.0,0.171,False,0,,uv1_019551,vacuum
CO,I,1694.78254,2.1667,-1.299,VALD3,,8.05,0.0,0.0,0.281,False,0,,uv1_019551,vacuum
CO,I,1694.79375,1.4693,-0.715,VALD3,,8.05,0.0,0.0,0.889,False,0,,uv1_019551,vacuum
CO,I,1694.79949,1.4693,-0.402,VALD3,,8.05,0.0,0.0,0.937,False,0,,uv1_019551,vacuum
CO,I,1694.80093,1.2425,-2.777,VALD3,,8.05,0.0,0.0,0.129,False,0,,uv1_019551,vacuum
CO,I,1694.80725,2.8339,-1.299,VALD3,,8.05,0.0,0.0,0.066,False,0,,uv1_019551,vacuum
Fe,I,1694.83204,0.0516,-3.053,VALD3,,7.59,-4.1,-7.19,0.969,False,0,,uv1_019551,vacuum
Mn,II,1694.91755,1.8326,-2.779,VALD3,,8.49,-6.58,-7.87,0.122,False,0,,uv1_019551,vacuum
CO,I,1694.92933,1.3315,-2.656,VALD3,,8.05,0.0,0.0,0.133,False,0,,uv1_019551,vacuum
Cr,II,1694.94188,3.8707,-0.973,VALD3,,8.66,-6.5,-7.723,0.093,False,0,,uv1_019551,vacuum
Fe,I,1694.94275,0.0873,-4.243,VALD3,,7.4,-3.86,-7.16,0.746,False,0,,uv1_019551,vacuum
CO,I,1694.94657,1.7824,-2.018,VALD3,,8.05,0.0,0.0,0.169,False,0,,uv1_019551,vacuum
Fe,II,1695.03715,0.0828,-4.868,VALD3,,8.46,-6.54,-7.91,0.666,False,0,,uv1_019551,vacuum
CO,I,1695.1043,1.7824,-1.661,VALD3,,8.05,0.0,0.0,0.316,False,0,,uv1_019551,vacuum
CO,I,1695.11982,1.7824,-1.824,VALD3,,8.05,0.0,0.0,0.241,False,0,,uv1_019551,vacuum
CO,I,1695.20976,1.8606,-1.724,VALD3,,8.05,0.0,0.0,0.245,False,0,,uv1_019551,vacuum
CO,I,1695.2293,1.6258,-0.647,VALD3,,8.05,0.0,0.0,0.861,False,0,,uv1_019551,vacuum
CO,I,1695.25632,1.2425,-3.198,VALD3,,8.05,0.0,0.0,0.053,False,0,,uv1_019551,vacuum
CO,I,1695.2635,1.2562,-2.439,VALD3,,8.05,0.0,0.0,0.237,False,0,,uv1_019551,vacuum
CO,I,1695.32156,1.2562,-2.762,VALD3,,8.05,0.0,0.0,0.129,False,0,,uv1_019551,vacuum
P,I,1695.327,2.3245,-2.56,VALD3,,0.0,0.0,0.0,0.108,False,0,,uv1_019551,vacuum
CO,I,1695.34196,2.8428,-1.278,VALD3,,8.05,0.0,0.0,0.067,False,0,,uv1_019551,vacuum
CO,I,1695.37847,2.1777,-1.236,VALD3,,8.05,0.0,0.0,0.303,False,0,,uv1_019551,vacuum
CO,I,1695.37847,2.1777,-1.609,VALD3,,8.05,0.0,0.0,0.158,False,0,,uv1_019551,vacuum
Fe,I,1695.39195,0.0873,-3.607,VALD3,,7.39,-3.76,-7.26,0.913,False,0,,uv1_019551,vacuum
CO,I,1695.47332,1.3479,-2.645,VALD3,,8.05,0.0,0.0,0.131,False,0,,uv1_019551,vacuum
Si,I,1695.507,0.0096,-1.29,VALD3,,8.47,-4.27,-7.23,0.993,False,0,,uv1_019551,vacuum
CO,I,1695.56014,1.4943,-0.707,VALD3,,8.05,0.0,0.0,0.884,False,0,,uv1_019551,vacuum
CO,I,1695.56819,1.4943,-0.394,VALD3,,8.05,0.0,0.0,0.934,False,0,,uv1_019551,vacuum
Fe,I,1695.5964,0.0873,-5.926,VALD3,,7.27,-4.16,-7.32,0.064,False,0,,uv1_019551,vacuum
Fe,I,1695.62719,0.0873,-4.418,VALD3,,7.44,-4.3,-7.29,0.67,False,0,,uv1_019551,vacuum
CO,I,1695.68607,1.7972,-1.489,VALD3,,8.05,0.0,0.0,0.396,False,0,,uv1_019551,vacuum
CO,I,1695.71511,1.7972,-1.81,VALD3,,8.05,0.0,0.0,0.239,False,0,,uv1_019551,vacuum
CO,I,1695.81087,1.2704,-2.425,VALD3,,8.05,0.0,0.0,0.236,False,0,,uv1_019551,vacuum
Fe,I,1695.83632,0.0873,-5.391,VALD3,,7.28,-4.06,-7.24,0.193,False,0,,uv1_019551,vacuum
CO,I,1695.86436,1.8776,-1.713,VALD3,,8.05,0.0,0.0,0.244,False,0,,uv1_019551,vacuum
CO,I,1695.87098,1.2704,-2.747,VALD3,,8.05,0.0,0.0,0.128,False,0,,uv1_019551,vacuum
CO,I,1695.89053,2.8522,-1.258,VALD3,,8.05,0.0,0.0,0.068,False,0,,uv1_019551,vacuum
Fe,I,1696.02581,0.0516,-3.756,VALD3,,7.82,-3.96,-7.22,0.896,False,0,,uv1_019551,vacuum
CO,I,1696.03492,1.3647,-2.633,VALD3,,8.05,0.0,0.0,0.129,False,0,,uv1_019551,vacuum
CO,I,1696.19718,1.6534,-0.64,VALD3,,8.05,0.0,0.0,0.854,False,0,,uv1_019551,vacuum
Si,I,1696.20682,0.0096,-0.58,VALD3,,8.49,-3.53,-7.22,0.993,False,0,,uv1_019551,vacuum
CO,I,1696.23199,1.285,-2.733,VALD3,,8.05,0.0,0.0,0.125,False,0,,uv1_019551,vacuum
CO,I,1696.30623,1.8124,-1.797,VALD3,,8.05,0.0,0.0,0.24,False,0,,uv1_019551,vacuum
CO,I,1696.34996,1.8124,-1.477,VALD3,,8.05,0.0,0.0,0.395,False,0,,uv1_019551,vacuum
CO,I,1696.36723,1.285,-2.411,VALD3,,8.05,0.0,0.0,0.235,False,0,,uv1_019551,vacuum
Fe,II,1696.45949,1.6953,-1.645,VALD3,,8.58,-6.56,-7.798,0.951,False,0,,uv1_019551,vacuum
CO,I,1696.47889,1.382,-2.891,VALD3,,8.05,0.0,0.0,0.071,False,0,,uv1_019551,vacuum
CO,I,1696.48378,2.8621,-1.239,VALD3,,8.05,0.0,0.0,0.069,False,0,,uv1_019551,vacuum
Mn,II,1696.49756,1.1745,-3.481,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.49788,1.1745,-2.937,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.49928,1.1745,-2.937,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.4996,1.1745,-4.481,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.50014,1.1745,-2.749,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.50248,1.1745,-2.749,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.50301,1.1745,-3.117,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.50375,1.1745,-2.719,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.50704,1.1745,-2.719,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.50778,1.1745,-2.576,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.50873,1.1745,-2.862,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.51296,1.1745,-2.862,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
Mn,II,1696.5139,1.1745,-2.218,VALD3,,8.68,-6.46,-7.87,0.861,False,0,,uv1_019551,vacuum
CO,I,1696.53789,1.895,-1.703,VALD3,,8.05,0.0,0.0,0.239,False,0,,uv1_019551,vacuum
CO,I,1696.54969,1.5197,-0.699,VALD3,,8.05,0.0,0.0,0.879,False,0,,uv1_019551,vacuum
CO,I,1696.55113,1.5197,-0.386,VALD3,,8.05,0.0,0.0,0.931,False,0,,uv1_019551,vacuum
CO,I,1696.71291,1.382,-2.959,VALD3,,8.05,0.0,0.0,0.059,False,0,,uv1_019551,vacuum
Fe,II,1696.79499,0.2322,-1.124,VALD3,,8.58,-6.64,-7.81,0.993,False,0,,uv1_019551,vacuum
Fe,II,1696.88381,0.3865,-4.91,VALD3,,8.46,-6.51,-7.841,0.461,False,0,,uv1_019551,vacuum
CO,I,1696.91186,1.3,-3.012,VALD3,,8.05,0.0,0.0,0.067,False,0,,uv1_019551,vacuum
CO,I,1696.93749,1.3,-2.398,VALD3,,8.05,0.0,0.0,0.233,False,0,,uv1_019551,vacuum
Co,II,1696.96196,1.3277,-3.947,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96256,1.3277,-3.529,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96314,1.3276,-3.295,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.9637,1.3276,-3.149,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96424,1.3276,-3.052,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96472,1.3277,-2.947,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96481,1.3277,-2.764,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96489,1.3277,-2.731,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96495,1.3276,-2.79,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96499,1.3276,-2.973,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96625,1.3276,-3.274,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.9667,1.3277,-2.856,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96714,1.3277,-2.585,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96757,1.3277,-2.378,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
Co,II,1696.96797,1.3277,-2.207,VALD3,,8.82,-6.54,-7.89,0.341,False,0,,uv1_019551,vacuum
