# linelist_alpha_cen_a.csv — alpha Cen A per-system VALD3 linelist (RYA-300)
# Generated: 2026-06-15  by scripts/intake_build_alpha_cen.py
# Stellar params: Teff=5792 K, logg=4.3, [Fe/H]=+0.20, vmic=1.1 km/s
#   (Heiter+2015 GBS Paper I / Jofre+2014 GBS Paper III)
# HFS splitting: ON (Codex permanent convention — all extractions, RYA-300)
# Detection threshold (central_depth): 0.05
# Extractions merged (all HFS-ON):
#   uv1     : vald_alpha_cen_a_uv1_raw.txt (RyanSchmitt.019551.gz), 1150-2000 A
#   uv2     : vald_alpha_cen_a_uv2_raw.txt (RyanSchmitt.019552.gz), 2000-3780 A
#   optical : vald_alpha_cen_a_optical_raw.txt (RyanSchmitt.019553.gz), 3780-6910 A
#   nir     : vald_alpha_cen_a_nir_raw.txt (RyanSchmitt.019554.gz), 6910-17000 A
# Wavelength convention: 'vacuum' for lambda < 2000 A (VALD delivers vacuum
#   below 2000 A despite the WL_air label), 'air' for lambda >= 2000 A.
#   NO vacuum->air conversion at build — done at the spectrum-matching boundary.
# Seam duplicates dropped at band endpoints: 102
# nist_grade empty pending NIST cross-validation; blend_flag=False everywhere.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes,extraction_source,wavelength_convention
C,I,1156.199,0.002,-2.62,VALD3,,0.0,0.0,0.0,0.833,False,0,,uv1_019551,vacuum
S,I,1156.27562,0.0,-1.074,VALD3,,8.5,-5.14,-7.44,0.845,False,0,,uv1_019551,vacuum
C,I,1156.389,0.0054,-2.042,VALD3,,0.0,0.0,0.0,0.842,False,0,,uv1_019551,vacuum
C,I,1156.4,0.002,-3.311,VALD3,,0.0,0.0,0.0,0.775,False,0,,uv1_019551,vacuum
C,I,1156.56,0.0054,-1.569,VALD3,,0.0,0.0,0.0,0.843,False,0,,uv1_019551,vacuum
C,I,1156.76,0.0054,-4.71,VALD3,,0.0,0.0,0.0,0.228,False,0,,uv1_019551,vacuum
C,I,1157.19,0.0,-3.059,VALD3,,0.0,0.0,0.0,0.807,False,0,,uv1_019551,vacuum
C,I,1157.33,0.0054,-2.251,VALD3,,0.0,0.0,0.0,0.839,False,0,,uv1_019551,vacuum
S,I,1157.40284,1.1454,-0.901,VALD3,,8.66,-4.26,-7.15,0.813,False,0,,uv1_019551,vacuum
C,I,1157.41,0.002,-2.345,VALD3,,0.0,0.0,0.0,0.838,False,0,,uv1_019551,vacuum
S,I,1157.58974,1.1454,-2.427,VALD3,,7.57,-4.45,-6.94,0.301,False,0,,uv1_019551,vacuum
C,I,1157.769,0.002,-1.579,VALD3,,0.0,0.0,0.0,0.844,False,0,,uv1_019551,vacuum
C,I,1157.77,0.0054,-2.822,VALD3,,0.0,0.0,0.0,0.823,False,0,,uv1_019551,vacuum
C,I,1157.91,0.0,-1.673,VALD3,,0.0,0.0,0.0,0.843,False,0,,uv1_019551,vacuum
C,I,1158.019,0.0054,-1.106,VALD3,,0.0,0.0,0.0,0.844,False,0,,uv1_019551,vacuum
C,I,1158.035,0.002,-1.506,VALD3,,0.0,0.0,0.0,0.843,False,0,,uv1_019551,vacuum
Fe,II,1158.1154,1.0405,-1.752,VALD3,,8.63,-6.48,-7.923,0.458,False,0,,uv1_019551,vacuum
C,I,1158.13,0.002,-1.923,VALD3,,0.0,0.0,0.0,0.841,False,0,,uv1_019551,vacuum
C,I,1158.132,0.0054,-1.586,VALD3,,0.0,0.0,0.0,0.842,False,0,,uv1_019551,vacuum
C,I,1158.324,0.0,-2.183,VALD3,,0.0,0.0,0.0,0.84,False,0,,uv1_019551,vacuum
C,I,1158.397,0.0054,-2.084,VALD3,,0.0,0.0,0.0,0.84,False,0,,uv1_019551,vacuum
C,I,1158.492,0.0054,-3.42,VALD3,,0.0,0.0,0.0,0.752,False,0,,uv1_019551,vacuum
C,I,1158.544,0.002,-2.693,VALD3,,0.0,0.0,0.0,0.827,False,0,,uv1_019551,vacuum
C,I,1158.674,0.002,-2.356,VALD3,,0.0,0.0,0.0,0.838,False,0,,uv1_019551,vacuum
C,I,1158.73,0.002,-2.289,VALD3,,0.0,0.0,0.0,0.838,False,0,,uv1_019551,vacuum
Fe,II,1158.84083,1.0405,-2.952,VALD3,,8.43,-6.48,-7.929,0.055,False,0,,uv1_019551,vacuum
C,I,1158.907,0.0054,-2.296,VALD3,,0.0,0.0,0.0,0.838,False,0,,uv1_019551,vacuum
C,I,1158.97,0.0054,-1.992,VALD3,,0.0,0.0,0.0,0.841,False,0,,uv1_019551,vacuum
C,I,1159.09,0.0054,-3.447,VALD3,,0.0,0.0,0.0,0.745,False,0,,uv1_019551,vacuum
Fe,II,1159.33878,0.9863,-1.136,VALD3,,8.53,-6.49,-7.923,0.737,False,0,,uv1_019551,vacuum
Ni,II,1159.50969,1.1568,-1.87,VALD3,,7.19,-6.59,-7.95,0.085,False,0,,uv1_019551,vacuum
