line_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew
gf_000000,47,1,Ag I,4210.956,3.778,1,-0.381,JMG,,synth(GES),single_source,-0.381,,,True,False,False,
gf_000001,47,1,Ag I,5209.068,3.664,1,0.048,JMG,,synth(GES),single_source,0.048,,,True,False,False,
gf_000002,47,1,Ag I,5465.498,3.778,1,0.326,JMG,,synth(GES),single_source,0.326,,0.326,True,False,True,
gf_000003,47,1,Ag I,5471.547,3.778,1,-0.626,JMG,,synth(GES),single_source,-0.626,,,True,False,False,
gf_000004,47,1,Ag I,7687.766,3.664,1,-0.503,JMG,,synth(GES),single_source,-0.503,,,True,False,False,
gf_000005,47,1,Ag I,8273.515,3.778,1,-0.178,JMG,,synth(GES),single_source,-0.178,,,True,False,False,
gf_000006,13,1,Al I,3944.006,0.0,1,-0.6227,VALD3,,linelist(VALD3),single_source,,,-0.6227,False,False,True,
gf_000007,13,1,Al I,3961.52,0.0139,1,-0.3228,VALD3,,linelist(VALD3),single_source,,,-0.3228,False,False,True,
gf_000008,13,1,Al I,4592.25,3.143,2,-3.1149,K75,,synth(GES),single_source,-3.1149,,-3.1149,True,False,True,
gf_000009,13,1,Al I,4652.4467,3.143,2,-2.9489,K75,,synth(GES),single_source,-2.9489,,-2.9489,True,False,True,
gf_000010,13,1,Al I,4740.265,3.143,1,-2.93,K75,,synth(GES),single_source,-2.93,,-2.93,True,False,True,
gf_000011,13,1,Al I,4740.412,3.143,1,-3.231,K75,,synth(GES),single_source,-3.231,,-3.231,True,False,True,
gf_000012,13,1,Al I,4876.584,3.143,1,-2.693,K75,,synth(GES),single_source,-2.693,,-2.6928,True,False,True,
gf_000013,13,1,Al I,4876.819,3.143,1,-2.994,K75,,synth(GES),single_source,-2.994,,-2.994,True,False,True,
gf_000014,13,1,Al I,5107.52,3.143,1,-2.395,K75,,synth(GES),single_source,-2.395,,-2.3948,True,False,True,
gf_000015,13,1,Al I,5107.943,3.143,1,-2.697,K75,,synth(GES),single_source,-2.697,,-2.6967,True,False,True,
gf_000016,13,1,Al I,5557.063,3.143,1,-2.104,1995JPhB..,,synth(GES),single_source,-2.104,,-2.1098,True,False,True,
gf_000017,13,1,Al I,5557.948,3.143,1,-2.41,WSM,,synth(GES),single_source,-2.41,,-2.4097,True,False,True,
gf_000018,13,1,Al I,6631.218,4.022,1,-1.7,K75,,synth(GES),flagged_uncitable_rya354,-1.7,,-1.7,True,False,True,
gf_000019,13,1,Al I,6631.809,4.022,2,-1.5288,K75,,synth(GES),single_source,-1.5288,,-1.5288,True,False,True,
gf_000020,13,1,Al I,6696.023,3.143,1,-1.347,VALD3,,regions(VALD3),pending,-1.569,-1.347,-1.4598,True,True,True,-0.222
gf_000021,13,1,Al I,6696.185,4.022,1,-1.569,NIST ASD v5.11; Kelleher & Podobedova 2008 JPCRD 37 p709 (Al/Si) grade C+ L4737,C+,synth(GES),adjudicated_rya354,-1.576,,-1.576,True,False,True,
gf_000022,13,1,Al I,6696.788,4.022,2,-1.3998,K75,,synth(GES),single_source,-1.3998,,-1.3998,True,False,True,
gf_000023,13,1,Al I,6698.673,3.143,1,-1.647,VALD3,,regions(VALD3),pending,-1.87,-1.647,-1.7597,True,True,True,-0.223
gf_000024,13,1,Al I,6783.638,4.022,1,-1.44,K75,,synth(GES),single_source,-1.44,,-1.44,True,False,True,
gf_000025,13,1,Al I,6784.256,4.022,2,-1.2638,K75,,synth(GES),single_source,-1.2638,,-1.2638,True,False,True,
gf_000026,13,1,Al I,6809.735,4.022,1,-4.772,K75,,synth(GES),single_source,-4.772,,,True,False,False,
gf_000027,13,1,Al I,6905.646,4.022,1,-1.287,K75,,synth(GES),single_source,-1.287,,-1.287,True,False,True,
gf_000028,13,1,Al I,6906.287,4.022,2,-1.1108,K75,,synth(GES),single_source,-1.1108,,-1.1108,True,False,True,
gf_000029,13,1,Al I,6928.697,4.085,1,-2.385,K75,,synth(GES),single_source,-2.385,,,True,False,False,
gf_000030,13,1,Al I,6936.186,4.087,1,-2.13,K75,,synth(GES),single_source,-2.13,,,True,False,False,
gf_000031,13,1,Al I,6936.311,4.087,1,-3.085,K75,,synth(GES),single_source,-3.085,,,True,False,False,
gf_000032,13,1,Al I,6942.496,4.022,1,-4.822,K75,,synth(GES),single_source,-4.822,,,True,False,False,
gf_000033,13,1,Al I,6942.925,4.022,1,-4.567,K75,,synth(GES),single_source,-4.567,,,True,False,False,
gf_000034,13,1,Al I,6999.829,4.085,1,-2.954,K75,,synth(GES),single_source,-2.954,,,True,False,False,
gf_000035,13,1,Al I,7007.601,4.087,1,-2.653,K75,,synth(GES),single_source,-2.653,,,True,False,False,
gf_000036,13,1,Al I,7019.545,4.085,1,-2.288,K75,,synth(GES),single_source,-2.288,,,True,False,False,
gf_000037,13,1,Al I,7027.12,4.087,1,-2.033,K75,,synth(GES),single_source,-2.033,,,True,False,False,
gf_000038,13,1,Al I,7027.36,4.087,1,-2.987,K75,,synth(GES),single_source,-2.987,,,True,False,False,
gf_000039,13,1,Al I,7083.969,4.022,1,-1.111,K75,,synth(GES),single_source,-1.111,,,True,False,False,
gf_000040,13,1,Al I,7084.643,4.022,2,-0.9348,K75,,synth(GES),single_source,-0.9348,,,True,False,False,
gf_000041,13,1,Al I,7118.899,4.085,1,-2.804,K75,,synth(GES),single_source,-2.804,,,True,False,False,
gf_000042,13,1,Al I,7126.938,4.087,1,-2.503,K75,,synth(GES),single_source,-2.503,,,True,False,False,
gf_000043,13,1,Al I,7140.054,4.022,1,-4.579,K75,,synth(GES),single_source,-4.579,,,True,False,False,
gf_000044,13,1,Al I,7140.406,4.022,1,-4.324,K75,,synth(GES),single_source,-4.324,,,True,False,False,
gf_000045,13,1,Al I,7145.397,4.085,1,-2.173,K75,,synth(GES),single_source,-2.173,,,True,False,False,
gf_000046,13,1,Al I,7153.199,4.087,1,-1.918,K75,,synth(GES),single_source,-1.918,,,True,False,False,
gf_000047,13,1,Al I,7153.496,4.087,1,-2.873,K75,,synth(GES),single_source,-2.873,,,True,False,False,
gf_000048,13,1,Al I,7290.831,4.085,1,-2.631,K75,,synth(GES),single_source,-2.631,,,True,False,False,
gf_000049,13,1,Al I,7299.263,4.087,1,-2.331,K75,,synth(GES),single_source,-2.331,,,True,False,False,
gf_000050,13,1,Al I,7327.47,4.085,1,-2.056,K75,,synth(GES),single_source,-2.056,,,True,False,False,
gf_000051,13,1,Al I,7335.648,4.087,1,-1.801,K75,,synth(GES),single_source,-1.801,,,True,False,False,
gf_000052,13,1,Al I,7335.987,4.087,1,-2.756,K75,,synth(GES),single_source,-2.756,,,True,False,False,
gf_000053,13,1,Al I,7361.568,4.022,1,-0.903,K75,,synth(GES),single_source,-0.903,,,True,False,False,
gf_000054,13,1,Al I,7362.296,4.022,2,-0.7268,K75,,synth(GES),single_source,-0.7268,,,True,False,False,
gf_000055,13,1,Al I,7453.539,4.022,1,-4.98,K75,,synth(GES),single_source,-4.98,,,True,False,False,
gf_000056,13,1,Al I,7454.088,4.022,1,-4.281,K75,,synth(GES),single_source,-4.281,,,True,False,False,
gf_000057,13,1,Al I,7454.285,4.022,1,-4.025,K75,,synth(GES),single_source,-4.025,,,True,False,False,
gf_000058,13,1,Al I,7554.162,4.085,1,-2.428,K75,,synth(GES),single_source,-2.428,,,True,False,False,
gf_000059,13,1,Al I,7563.214,4.087,1,-2.128,K75,,synth(GES),single_source,-2.128,,,True,False,False,
gf_000060,13,1,Al I,7606.16,4.085,1,-1.958,K75,,synth(GES),single_source,-1.958,,,True,False,False,
gf_000061,13,1,Al I,7614.82,4.087,1,-1.703,K75,,synth(GES),single_source,-1.703,,,True,False,False,
gf_000062,13,1,Al I,7615.337,4.087,1,-2.657,K75,,synth(GES),single_source,-2.657,,,True,False,False,
gf_000063,13,1,Al I,7835.309,4.022,1,-0.649,K75,,synth(GES),single_source,-0.649,,,True,False,False,
gf_000064,13,1,Al I,7836.134,4.022,2,-0.4728,K75,,synth(GES),single_source,-0.4728,,,True,False,False,
gf_000065,13,1,Al I,7993.05,4.085,1,-2.18,K75,,synth(GES),single_source,-2.18,,,True,False,False,
gf_000066,13,1,Al I,8003.185,4.087,1,-1.879,K75,,synth(GES),single_source,-1.879,,,True,False,False,
gf_000067,13,1,Al I,8006.871,4.022,1,-4.586,K75,,synth(GES),single_source,-4.586,,,True,False,False,
gf_000068,13,1,Al I,8007.732,4.022,1,-3.632,K75,,synth(GES),single_source,-3.632,,,True,False,False,
gf_000069,13,1,Al I,8007.91,4.022,1,-3.887,K75,,synth(GES),single_source,-3.887,,,True,False,False,
gf_000070,13,1,Al I,8065.968,4.085,1,-1.936,K75,,synth(GES),single_source,-1.936,,,True,False,False,
gf_000071,13,1,Al I,8075.353,4.087,1,-1.681,K75,,synth(GES),single_source,-1.681,,,True,False,False,
gf_000072,13,1,Al I,8076.289,4.087,1,-2.636,K75,,synth(GES),single_source,-2.636,,,True,False,False,
gf_000073,13,1,Al I,8772.865,4.022,1,-0.17,1995JPhB..,,synth(GES),single_source,-0.17,,,True,False,False,
gf_000074,13,1,Al I,8773.896,4.022,1,-0.023,1995JPhB..,,synth(GES),single_source,-0.023,,,True,False,False,
gf_000075,13,1,Al I,8828.909,4.085,1,-1.89,WSM,,synth(GES),single_source,-1.89,,,True,False,False,
gf_000076,13,1,Al I,8841.277,4.087,1,-1.59,WSM,,synth(GES),single_source,-1.59,,,True,False,False,
gf_000077,13,1,Al I,8912.9,4.085,1,-2.348,K75,,synth(GES),single_source,-2.348,,,True,False,False,
gf_000078,13,1,Al I,8923.555,4.087,1,-2.093,K75,,synth(GES),single_source,-2.093,,,True,False,False,
gf_000079,13,1,Al I,8925.504,4.087,1,-3.048,K75,,synth(GES),single_source,-3.048,,,True,False,False,
gf_000080,13,1,Al I,9169.74,4.022,1,-4.042,K75,,synth(GES),single_source,-4.042,,,True,False,False,
gf_000081,13,1,Al I,9170.87,4.022,1,-3.088,K75,,synth(GES),single_source,-3.088,,,True,False,False,
gf_000082,13,1,Al I,9172.15,4.022,1,-3.343,K75,,synth(GES),single_source,-3.343,,,True,False,False,
gf_000083,13,2,Al II,3900.675,7.4207,1,-1.27,VALD3,,linelist(VALD3),single_source,,,-1.27,False,False,True,
gf_000084,13,2,Al II,4640.42,15.303,1,-0.54,KP,,synth(GES),single_source,-0.54,,,True,False,False,
gf_000085,13,2,Al II,4663.046,10.598,1,-0.284,WSM,,synth(GES),single_source,-0.284,,-0.284,True,False,True,
gf_000086,13,2,Al II,4860.759,15.586,1,-3.95,KP,,synth(GES),single_source,-3.95,,,True,False,False,
gf_000087,13,2,Al II,4880.172,15.585,1,-2.07,KP,,synth(GES),single_source,-2.07,,,True,False,False,
gf_000088,13,2,Al II,4880.669,15.586,1,-4.44,KP,,synth(GES),single_source,-4.44,,,True,False,False,
gf_000089,13,2,Al II,4898.921,15.606,1,-1.43,KP,,synth(GES),single_source,-1.43,,,True,False,False,
gf_000090,13,2,Al II,4899.797,15.586,1,-1.94,KP,,synth(GES),single_source,-1.94,,,True,False,False,
gf_000091,13,2,Al II,4919.146,15.606,1,-1.91,KP,,synth(GES),single_source,-1.91,,,True,False,False,
gf_000092,13,2,Al II,4920.017,15.606,2,-4.1233,KP,,synth(GES),single_source,-4.1233,,,True,False,False,
gf_000093,13,2,Al II,4938.576,15.606,1,-4.47,KP,,synth(GES),single_source,-4.47,,,True,False,False,
gf_000094,13,2,Al II,4998.86,14.89,1,-3.46,KP,,synth(GES),single_source,-3.46,,,True,False,False,
gf_000095,13,2,Al II,4999.335,14.89,1,-3.85,KP,,synth(GES),single_source,-3.85,,,True,False,False,
gf_000096,13,2,Al II,5158.229,15.309,3,-0.3151,KP,,synth(GES),single_source,-0.3151,,,True,False,False,
gf_000097,13,2,Al II,5171.031,15.314,1,-0.45,KP,,synth(GES),single_source,-0.45,,,True,False,False,
gf_000098,13,2,Al II,5209.917,15.302,1,-4.92,KP,,synth(GES),single_source,-4.92,,,True,False,False,
gf_000099,13,2,Al II,5277.632,15.303,1,-1.9,KP,,synth(GES),single_source,-1.9,,,True,False,False,
gf_000100,13,2,Al II,5278.68,15.585,1,-1.79,KP,,synth(GES),single_source,-1.79,,,True,False,False,
gf_000101,13,2,Al II,5279.669,15.586,1,-4.2,KP,,synth(GES),single_source,-4.2,,,True,False,False,
gf_000102,13,2,Al II,5280.2287,15.586,2,-1.3133,KP,,synth(GES),single_source,-1.3133,,,True,False,False,
gf_000103,13,2,Al II,5290.88,15.309,1,-4.7,KP,,synth(GES),single_source,-4.7,,,True,False,False,
gf_000104,13,2,Al II,5310.83,15.585,1,-2.17,KP,,synth(GES),single_source,-2.17,,,True,False,False,
gf_000105,13,2,Al II,5338.919,15.048,1,-2.67,KP,,synth(GES),single_source,-2.67,,,True,False,False,
gf_000106,13,2,Al II,5358.052,15.606,1,-4.23,KP,,synth(GES),single_source,-4.23,,,True,False,False,
gf_000107,13,2,Al II,5371.326,15.062,1,-1.98,KP,,synth(GES),single_source,-1.98,,,True,False,False,
gf_000108,13,2,Al II,5371.448,15.062,1,-2.73,KP,,synth(GES),single_source,-2.73,,,True,False,False,
gf_000109,13,2,Al II,5388.682,15.048,1,-2.02,KP,,synth(GES),single_source,-2.02,,,True,False,False,
gf_000110,13,2,Al II,5410.123,15.473,1,-0.83,KP,,synth(GES),single_source,-0.83,,,True,False,False,
gf_000111,13,2,Al II,5441.367,15.473,1,-2.65,KP,,synth(GES),single_source,-2.65,,,True,False,False,
