element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Al 1	7835.309	783.5309	-0.689	4.02148	32435.453	1.5	5.60343	45194.681	2.5	6.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.000	0.000	d	f	F	0	1	13.0	13.0	13.0	NIST-ASD-RYA708	F	0	0	3s2.3d2D	3s2.6f2F*	T	T	T	F	T	T	783.5309	783.4959	783.5659	Al 1	0	0	0	0	0	783.4959	783.5659	0	0	0	0	0	1.000	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0	0.000	False	False	False
Al 1	7836.134	783.6134	-0.513	4.02165	32436.796	2.5	5.60343	45194.681	3.5	8.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.000	0.000	d	f	F	0	1	13.0	13.0	13.0	NIST-ASD-RYA708	F	0	0	3s2.3d2D	3s2.6f2F*	T	T	T	F	T	T	783.6134	783.5784	783.6484	Al 1	0	0	0	0	0	783.5784	783.6484	0	0	0	0	0	1.000	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0	0.000	False	False	False
Al 1	8772.866	877.2866	-0.349	4.02148	32435.453	1.5	5.43436	43831.101	2.5	6.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.000	0.000	d	f	F	0	1	13.0	13.0	13.0	NIST-ASD-RYA708	F	0	0	3s2.3d2D	3s2.5f2F*	T	T	T	F	T	T	877.2866	877.2516	877.3216	Al 1	0	0	0	0	0	877.2516	877.3216	0	0	0	0	0	1.000	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0	0.000	False	False	False
Al 1	8773.896	877.3896	-0.171	4.02165	32436.796	2.5	5.43436	43831.105	3.5	8.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.000	0.000	d	f	F	0	1	13.0	13.0	13.0	NIST-ASD-RYA708	F	0	0	3s2.3d2D	3s2.5f2F*	T	T	T	F	T	T	877.3896	877.3546	877.4246	Al 1	0	0	0	0	0	877.3546	877.4246	0	0	0	0	0	1.000	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0	0.000	False	False	False
