# air_wavelength_A  corrected_residual_flux  transmission
# RYA-940 telluric-corrected 1984 Kitt Peak atlas. NaN = quarantined (transmission < T_min=0.0873), never divided.
  6246.30070       0.395906   0.992887
  6246.30800       0.372560   0.992886
  6246.31470       0.355580   0.992885
  6246.32200       0.344985   0.992885
  6246.32870       0.341530   0.992884
  6246.33610       0.345922   0.992884
  6246.34340       0.358169   0.992883
  6246.35010       0.378373   0.992882
  6246.35740       0.406363   0.992882
  6246.36470       0.440727   0.992881
  6246.37150       0.479715   0.992881
  6246.37880       0.521946   0.992880
  6246.38550       0.565547   0.992880
  6246.39280       0.608372   0.992879
  6246.40010       0.649193   0.992878
  6246.40690       0.687154   0.992878
  6246.41420       0.721388   0.992877
  6246.42090       0.752178   0.992877
  6246.42820       0.780349   0.992876
  6246.43550       0.805428   0.992876
  6246.44230       0.826851   0.992875
  6246.44960       0.845686   0.992874
  6246.45630       0.862808   0.992874
  6246.46360       0.877594   0.992873
  6246.47090       0.890003   0.992873
  6246.47770       0.901163   0.992872
  6246.48500       0.911195   0.992872
  6246.49170       0.919495   0.992871
  6246.49900       0.926677   0.992871
  6246.50630       0.933597   0.992870
  6246.51310       0.939932   0.992869
  6246.52040       0.945422   0.992869
  6246.52710       0.950338   0.992868
  6246.53440       0.954528   0.992868
  6246.54170       0.957973   0.992867
  6246.54850       0.961328   0.992867
  6246.55580       0.964672   0.992866
  6246.56310       0.967432   0.992865
  6246.56980       0.969578   0.992865
  6246.57710       0.971371   0.992864
  6246.58390       0.972873   0.992864
  6246.59120       0.974364   0.992863
  6246.59850       0.976006   0.992863
  6246.60520       0.977447   0.992862
  6246.61250       0.978676   0.992861
  6246.61930       0.979976   0.992861
  6246.62660       0.981125   0.992860
  6246.63390       0.981961   0.992860
  6246.64060       0.982788   0.992859
  6246.64790       0.983594   0.992859
  6246.65470       0.984320   0.992858
  6246.66200       0.985177   0.992858
  6246.66930       0.985832   0.992857
  6246.67600       0.985984   0.992856
  6246.68330       0.986488   0.992856
  6246.69010       0.987687   0.992855
  6246.69740       0.988342   0.992855
  6246.70470       0.988101   0.992854
  6246.71140       0.988273   0.992854
  6246.71880       0.989190   0.992853
  6246.72610       0.989664   0.992852
  6246.73280       0.989473   0.992852
  6246.74010       0.989665   0.992851
  6246.74680       0.990491   0.992851
  6246.75420       0.991157   0.992850
  6246.76150       0.991198   0.992849
  6246.76820       0.991279   0.992849
  6246.77550       0.992005   0.992848
  6246.78220       0.992801   0.992848
  6246.78960       0.992932   0.992847
  6246.79690       0.992973   0.992847
  6246.80360       0.993679   0.992846
  6246.81090       0.994435   0.992845
  6246.81760       0.994526   0.992845
  6246.82500       0.994486   0.992844
  6246.83230       0.994859   0.992844
  6246.83900       0.995424   0.992843
  6246.84630       0.996049   0.992843
  6246.85300       0.996624   0.992842
  6246.86040       0.996715   0.992842
  6246.86770       0.996554   0.992841
  6246.87440       0.996807   0.992840
  6246.88170       0.997180   0.992840
  6246.88900       0.997281   0.992839
  6246.89580       0.997614   0.992839
  6246.90310       0.998068   0.992838
  6246.90980       0.997928   0.992838
  6246.91710       0.997747   0.992837
  6246.92440       0.998170   0.992836
  6246.93120       0.998362   0.992836
  6246.93850       0.998061   0.992835
  6246.94520       0.998263   0.992835
  6246.95250       0.998767   0.992834
