wavelength_air_A,canonical_log_gf,canonical_reference,canonical_nist_grade,nist_n_components,nist_log_gf,nist_grade_worst,nist_sigma_dex,nist_wavelength_A,nist_gap_A,nl2017_log_gf,nl2017_n_components,burheim_covers,burheim_nearest_A,burheim_gap_A,delta_nist_minus_canonical,delta_nl_minus_nist
7835.309,-0.649,K75,,1.0,-0.6886700476962069,B,0.04139268515822507,7835.309,0.0,-0.689,1.0,False,7836.521,1.212,-0.039670047696206856,-0.0003299523037930685
7836.134,-0.4728,K75,,2.0,-0.5130880259260397,C+,0.07188200730612536,7836.134,0.0,-0.5127615980857448,2.0,False,7836.521,0.387,-0.04028802592603975,0.00032642784029490723
8772.865,-0.17,1995JPhB..,,1.0,-0.348721986001856,B+,0.029383777685209667,8772.866,0.001,-0.349,1.0,False,8843.705,70.84,-0.178721986001856,-0.00027801399814397776
8773.896,-0.023,1995JPhB..,,2.0,-0.1713529907325012,C+,0.07188200730612536,8773.896,0.0,-0.17090430830370326,2.0,False,8843.705,69.809,-0.14835299073250122,0.0004486824287979474
6631.218,-1.7,K75,,,,,,,,,,False,6697.864,66.646,,
6696.185,-1.569,NIST ASD v5.11; Kelleher & Podobedova 2008 JPCRD 37 p709 (Al/Si) grade C+ L4737,C+,1.0,-1.5686362358410126,C+,0.07188200730612536,6696.015,0.17,-1.569,1.0,False,6697.864,1.679,0.00036376415898731196,-0.00036376415898731196
