wavelength_air_A,segment,n_pixels,mtrans_min,n_deep_pixels,state,why,contrast_raw,contrast_corrected
16892.361,H1559_o3d1,66,0.9885,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16382.251,H1559_o4d1,67,0.9818,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16396.306,H1559_o4d1,67,0.9517,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16537.994,H1559_o4d2,71,0.4189,10,CORRECTED,telluric contrast +0.3423 -> +0.0181,0.3423,0.0181
16541.962,H1559_o4d2,72,0.9951,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16009.61,H1559_o5d2,72,0.5587,9,NO-TELLURIC-IN-WINDOW,only 9 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16153.247,H1559_o5d3,77,0.9207,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16165.029,H1559_o5d3,77,0.9448,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16179.583,H1559_o5d3,78,0.9795,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15591.49,H1559_o6d2,75,0.9895,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15604.22,H1559_o6d2,75,0.9789,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15631.947,H1559_o6d2,76,0.9986,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15682.016,H1559_o6d3,79,0.9341,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15691.853,H1559_o6d3,79,0.7685,5,CORRECTED,telluric contrast +0.0881 -> -0.0835,0.0881,-0.0835
