ion,band,instrument,holding,selector,wavelength_air_A,synth_band,in_registered_telluric_band,telluric_band,telluric_band_span,production_fate,production_reason,lift_provenance,raw_sibling,flux_state,flux_basis,absorption_available_in_raw,band_evidence_state,max_abs_diff
I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,GRADED,9913.18,NIR,False,,,KEPT,,,,NO-TELLURIC-BAND-DECLARED,no raw sibling and no declared telluric band reaches this line — not a claim that no telluric is present (RYA-833),,,
I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,GRADED,9944.207,NIR,False,,,KEPT,,,,NO-TELLURIC-BAND-DECLARED,no raw sibling and no declared telluric band reaches this line — not a claim that no telluric is present (RYA-833),,,
I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,GRADED,10142.844,NIR,False,,,KEPT,,,,NO-TELLURIC-BAND-DECLARED,no raw sibling and no declared telluric band reaches this line — not a claim that no telluric is present (RYA-833),,,
I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,GRADED,10216.313,NIR,False,,,KEPT,,,,NO-TELLURIC-BAND-DECLARED,no raw sibling and no declared telluric band reaches this line — not a claim that no telluric is present (RYA-833),,,
I,NIR,crires_plus,solar_crires_plus_y_wide_rya1054,GRADED,10435.355,NIR,False,,,KEPT,,,,NO-TELLURIC-BAND-DECLARED,no raw sibling and no declared telluric band reaches this line — not a claim that no telluric is present (RYA-833),,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9214.499,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.534235,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9258.267,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.184585,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9259.005,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.266708,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9294.534,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9311.514,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9318.179,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9350.415,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9354.628,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9388.184,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9410.159,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9414.042,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9437.793,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9452.336,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9454.194,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9463.028,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9507.152,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9550.957,NIR,True,H2O,"(9280.0, 9600.0)",KEPT,,,solar_iag_reiners2016,VERIFIED-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=-9.97 vs references 30.76),,clean,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9626.823,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.419767,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9768.313,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.19297,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9783.993,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.067019,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9786.641,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.092819,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9913.18,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.05409,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,9944.207,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.054823,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,10142.844,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.033777,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,10216.313,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.212722,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,10435.355,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),0.027093,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,10863.518,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),,,
I,NIR,iag_fts_solar_atlas,solar_iag,GRADED,11013.235,NIR,False,,,KEPT,,,solar_iag_reiners2016,NO-TELLURIC-BAND-DECLARED,the difference test has no power at this line and no declared telluric band reaches it (RYA-833),,,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9214.499,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.361262,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9258.267,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.167591,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9259.005,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.181769,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9294.534,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9311.514,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9318.179,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9350.415,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9354.628,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9388.184,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9410.159,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9414.042,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9437.793,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9452.336,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9454.194,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9463.028,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9507.152,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9550.957,NIR,True,H2O,"(9280.0, 9600.0)",LIFTED-CORRECTED-PRODUCT,QUARANTINED-TELLURIC: inside the H2O (9280-9600 A),"kp1984_corrected_9280_9600.txt (9280-9600 A, RYA-940 corrected)",solar_kpno,PARTIALLY-CORRECTED,RYA-1191 BAND MEASUREMENT against the telluric template (residual_z=3.42 vs references 30.76),,partial,
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9626.823,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.23453,,0.0
