ion,band,synth_band,wavelength_air_A,half_width_A,n_transitions,summed_depth_window,depth_share_target,molecular_share,top_contaminant,top_contaminant_share,verdict,synth_n_transitions,synth_depth_share_target,synthesis_blind_to_molecular
I,VIS,VIS,5658.532,0.62,49,3.552,0.471,0.0,Sc II,0.2483,TARGET-NOT-DOMINANT,96,0.7491,False
I,VIS,VIS,5658.816,0.62,46,3.469,0.4823,0.0,Sc II,0.2543,TARGET-NOT-DOMINANT,88,0.7874,False
I,VIS,VIS,5662.516,0.62,9,2.646,0.3957,0.0,Y II,0.4308,TARGET-NOT-DOMINANT,20,0.5332,False
I,VIS,VIS,5705.992,0.62,26,1.059,0.8971,0.0,S I,0.0463,CLEAN,16,0.938,False
I,VIS,VIS,5709.378,0.62,25,2.338,0.3323,0.0,Ni I,0.589,TARGET-NOT-DOMINANT,80,0.502,False
I,VIS,VIS,5712.131,0.62,49,3.103,0.2759,0.0,Sc I,0.3287,TARGET-NOT-DOMINANT,43,0.53,False
I,VIS,VIS,5717.833,0.62,26,0.977,0.478,0.0,Sc I,0.4299,TARGET-NOT-DOMINANT,72,0.3008,False
I,VIS,VIS,5753.122,0.62,44,1.118,0.5179,0.0,Co I,0.2504,BLENDED,14,0.7245,False
I,VIS,VIS,5775.081,0.62,22,0.477,0.9203,0.0042,Ti I,0.0419,CLEAN,13,0.9538,False
I,VIS,VIS,5784.658,0.62,29,1.552,0.4472,0.0006,V I,0.3383,TARGET-NOT-DOMINANT,23,0.4432,False
I,VIS,VIS,6003.011,0.62,51,0.96,0.5656,0.0,V I,0.3125,BLENDED,26,0.8784,False
I,VIS,VIS,6008.556,0.62,8,1.066,0.9869,0.0019,V I,0.0113,CLEAN,55,1.0,False
I,VIS,VIS,6056.005,0.62,6,0.692,0.9986,0.0,Ce II,0.0014,CLEAN,7,1.0,False
I,VIS,VIS,6141.731,0.62,46,11.368,0.048,0.0001,Ba II,0.946,TARGET-NOT-DOMINANT,75,0.1458,False
I,VIS,VIS,6232.64,0.62,45,1.742,0.3255,0.0011,V I,0.4696,TARGET-NOT-DOMINANT,73,0.8933,False
I,VIS,VIS,6246.318,0.62,26,0.7,0.9029,0.0057,Co I,0.09,CLEAN,9,1.0,False
I,VIS,VIS,6301.5,0.62,6,0.638,0.9796,0.0016,Si I,0.0172,CLEAN,75,0.9859,False
I,VIS,VIS,6315.811,0.62,17,1.126,0.8739,0.0,Co I,0.1066,CLEAN,10,0.9369,False
I,VIS,VIS,6336.823,0.62,4,0.614,0.9935,0.0016,Cr II,0.0049,CLEAN,8,0.9855,False
I,VIS,VIS,6400.0,0.62,5,1.268,0.9779,0.0,Ca I,0.0221,CLEAN,76,0.6579,False
I,VIS,VIS,6408.017,0.62,49,0.706,0.8159,0.0113,Co I,0.1105,CLEAN,37,0.9116,False
I,VIS,VIS,6411.648,0.62,24,0.794,0.9736,0.0,V I,0.0264,CLEAN,60,0.9979,False
I,VIS,VIS,6627.544,0.62,7,0.185,0.9297,0.0108,Cr I,0.0378,CLEAN,8,0.9355,False
I,VIS,VIS,6663.231,0.62,9,0.913,0.9923,0.0044,CN I,0.0044,CLEAN,86,0.9907,False
I,VIS,VIS,6705.101,0.62,8,0.266,0.9699,0.0113,CN I,0.0113,CLEAN,7,0.9818,False
I,VIS,VIS,6725.356,0.62,3,0.127,0.9843,0.0157,CN I,0.0157,CLEAN,6,0.836,False
I,VIS,VIS,6841.339,0.62,17,0.633,0.6793,0.0016,Mg I,0.2686,BLENDED,52,0.8006,False
I,VIS,VIS,6843.655,0.62,7,0.39,0.9769,0.0051,Cr I,0.0077,CLEAN,70,0.9818,False
I,VIS,VIS,6855.161,0.62,4,0.669,0.9537,0.0,Ti II,0.0463,CLEAN,21,0.9469,False
I,VIS,VIS,6858.148,0.62,7,0.428,0.8551,0.0,Y II,0.1402,CLEAN,7,0.9423,False
I,red-optical,red-optical,6916.68,1.1,6,0.401,0.9501,0.005,Si I,0.0424,CLEAN,11,0.9672,False
I,red-optical,red-optical,6977.429,1.1,10,0.87,0.346,0.0115,Cr I,0.4322,TARGET-NOT-DOMINANT,11,0.374,False
I,red-optical,red-optical,6999.883,1.1,10,0.621,0.7005,0.0242,Ti II,0.2705,BLENDED,76,0.7174,False
I,red-optical,red-optical,7007.966,1.1,11,0.308,0.7792,0.013,Ti I,0.1039,BLENDED,14,0.8214,False
I,red-optical,red-optical,7016.39,1.1,17,1.957,0.4655,0.002,Co I,0.4568,TARGET-NOT-DOMINANT,16,0.6968,False
I,red-optical,red-optical,7022.952,1.1,9,0.797,0.9021,0.0038,Ni I,0.0941,CLEAN,106,0.8763,False
I,red-optical,red-optical,7071.86,1.1,9,0.375,0.6613,0.0053,Si I,0.3253,BLENDED,93,0.7488,False
I,red-optical,red-optical,7130.921,1.1,13,0.62,0.9194,0.0194,Ti I,0.0306,CLEAN,103,0.935,False
I,red-optical,red-optical,7164.448,1.1,17,0.882,0.6134,0.0181,Si I,0.3209,BLENDED,98,0.566,False
I,red-optical,red-optical,7175.921,1.1,25,0.63,0.9175,0.0302,Mn I,0.0476,CLEAN,30,0.9693,False
I,red-optical,red-optical,7181.194,1.1,18,1.239,0.6368,0.0178,Ni I,0.3091,BLENDED,84,0.5606,False
I,red-optical,red-optical,7187.317,1.1,11,0.687,0.8399,0.0291,Si I,0.1063,CLEAN,18,0.8571,False
I,red-optical,red-optical,7207.387,1.1,11,1.086,0.907,0.011,Si I,0.0635,CLEAN,15,0.8881,False
I,red-optical,red-optical,7219.682,1.1,7,0.377,0.8382,0.0053,Ni I,0.1432,CLEAN,77,0.6677,False
I,red-optical,red-optical,7239.867,1.1,29,0.301,0.794,0.0266,Mn I,0.0997,BLENDED,93,0.9273,False
I,red-optical,red-optical,7288.736,1.1,13,0.906,0.4592,0.0155,Si I,0.4525,TARGET-NOT-DOMINANT,16,0.3627,False
I,red-optical,red-optical,7292.829,1.1,11,0.825,0.9188,0.0206,Si I,0.0606,CLEAN,102,0.9593,False
I,red-optical,red-optical,7293.043,1.1,11,0.819,0.9145,0.0244,Si I,0.0611,CLEAN,104,0.9594,False
I,red-optical,red-optical,7306.562,1.1,10,0.333,0.9159,0.021,Ti I,0.042,CLEAN,30,0.9589,False
I,red-optical,red-optical,7307.931,1.1,31,0.533,0.6548,0.0356,Fe II,0.2702,BLENDED,7,0.6286,False
I,red-optical,red-optical,7333.56,1.1,13,0.282,0.8333,0.078,CN I,0.078,CLEAN,89,0.5952,False
I,red-optical,red-optical,7411.153,1.1,7,0.56,0.9554,0.0161,Ca I,0.0268,CLEAN,114,0.561,False
I,red-optical,red-optical,7443.022,1.1,23,0.321,0.8255,0.0436,Co I,0.0748,CLEAN,81,0.9157,False
I,red-optical,red-optical,7445.749,1.1,24,0.739,0.9567,0.0054,V I,0.0217,CLEAN,69,0.7102,False
I,red-optical,red-optical,7491.647,1.1,5,0.428,0.972,0.007,Ti I,0.0117,CLEAN,95,0.9615,False
I,red-optical,red-optical,7495.066,1.1,13,0.814,0.9287,0.0147,Ti I,0.0553,CLEAN,84,0.9291,False
I,red-optical,red-optical,7511.019,1.1,10,0.747,0.9679,0.0174,CN I,0.0174,CLEAN,102,0.9759,False
I,red-optical,red-optical,7568.899,1.1,16,0.49,0.898,0.0204,Si I,0.0367,CLEAN,11,0.9636,False
I,red-optical,red-optical,7586.018,1.1,22,0.919,0.5223,0.0044,Co I,0.3656,BLENDED,90,0.308,False
I,red-optical,red-optical,7620.513,1.1,11,0.392,0.9464,0.0179,Ti I,0.0255,CLEAN,51,0.9804,False
I,red-optical,red-optical,7653.758,1.1,5,0.35,0.8514,0.0114,Ti I,0.1343,CLEAN,77,0.8644,False
I,red-optical,red-optical,7661.195,1.1,7,0.508,0.9882,0.0098,CN I,0.0098,CLEAN,67,0.9726,False
I,red-optical,red-optical,7664.159,1.1,24,4.349,0.1695,0.0007,K I,0.8057,TARGET-NOT-DOMINANT,91,0.5321,False
I,red-optical,red-optical,7710.363,1.1,10,0.569,0.9402,0.0105,Mn I,0.0264,CLEAN,30,0.9079,False
I,red-optical,red-optical,7937.139,1.1,30,0.655,0.8565,0.0321,V I,0.1099,CLEAN,45,0.9951,False
I,red-optical,red-optical,7945.846,1.1,9,0.606,0.9554,0.0347,CN I,0.0347,CLEAN,90,0.9853,False
I,red-optical,red-optical,7998.944,1.1,44,0.67,0.809,0.0104,Co I,0.0985,CLEAN,10,0.5753,False
I,red-optical,red-optical,8046.047,1.1,6,0.571,0.9054,0.0,Si I,0.0753,CLEAN,74,0.6808,False
I,red-optical,red-optical,8198.921,1.1,14,0.674,0.9139,0.0074,V I,0.0653,CLEAN,31,0.9714,False
I,red-optical,red-optical,8207.742,1.1,17,0.715,0.5203,0.0364,Co I,0.4336,BLENDED,76,0.8795,False
I,red-optical,red-optical,8220.378,1.1,6,0.604,0.9338,0.0348,CN I,0.0348,CLEAN,6,0.9538,False
I,red-optical,red-optical,8232.316,1.1,5,0.484,0.9752,0.0227,CN I,0.0227,CLEAN,32,0.3633,False
I,red-optical,red-optical,8248.129,1.1,26,0.617,0.624,0.0178,Ca II,0.2901,BLENDED,63,0.2435,False
I,red-optical,red-optical,8331.914,1.1,39,0.711,0.8158,0.0394,Co I,0.0759,CLEAN,11,0.9655,False
I,red-optical,red-optical,8339.402,1.1,11,0.571,0.7426,0.021,Si I,0.1524,BLENDED,31,0.75,False
I,red-optical,red-optical,8360.794,1.1,3,0.174,0.9655,0.0345,CN I,0.0345,CLEAN,3,1.0,False
I,red-optical,red-optical,8432.174,1.1,3,0.013,0.0,1.0,CN I,1.0,TARGET-NOT-DOMINANT,10,,True
I,red-optical,red-optical,8446.384,1.1,13,0.444,0.5225,0.027,O I,0.4505,BLENDED,73,0.5745,False
I,red-optical,red-optical,8471.743,1.1,5,0.23,0.9087,0.0913,CN I,0.0913,CLEAN,6,1.0,False
I,red-optical,red-optical,8526.669,1.1,8,0.351,0.9516,0.0228,CN I,0.0228,CLEAN,83,0.9745,False
I,red-optical,red-optical,8571.804,1.1,7,0.186,0.6989,0.0,Si I,0.2634,BLENDED,10,0.7647,False
I,red-optical,red-optical,8598.829,1.1,25,0.379,0.8734,0.0,V I,0.0475,CLEAN,59,0.2883,False
I,red-optical,red-optical,8610.61,1.1,9,0.061,0.5246,0.3279,CN I,0.3279,BLENDED,20,1.0,True
I,red-optical,red-optical,8632.414,1.1,7,0.114,0.8246,0.0877,CN I,0.0877,CLEAN,6,0.8586,False
I,red-optical,red-optical,8699.454,1.1,20,0.723,0.6625,0.0055,Mn I,0.332,BLENDED,68,0.9559,False
I,red-optical,red-optical,8713.208,1.1,8,0.855,0.6632,0.0094,Mg I,0.3275,BLENDED,10,0.6803,False
I,red-optical,red-optical,8784.44,1.1,15,0.117,0.8376,0.0598,CN I,0.0598,CLEAN,30,0.9622,False
I,red-optical,red-optical,8808.17,1.1,8,0.363,0.73,0.0055,Ca I,0.2562,BLENDED,65,0.7816,False
I,red-optical,red-optical,8846.74,1.1,6,0.278,0.9496,0.0,S I,0.0504,CLEAN,66,0.8994,False
I,red-optical,red-optical,8866.931,1.1,5,0.485,0.9835,0.0124,CN I,0.0124,CLEAN,48,0.9982,False
I,red-optical,red-optical,8876.024,1.1,9,0.288,0.6458,0.0243,Ni I,0.1979,BLENDED,47,0.6824,False
I,red-optical,red-optical,8905.991,1.1,6,0.013,0.7692,0.0769,Ca I,0.1538,BLENDED,46,1.0,False
I,red-optical,red-optical,8945.189,1.1,5,0.497,0.9718,0.004,Fe II,0.0241,CLEAN,33,0.9531,False
I,red-optical,red-optical,9012.075,1.1,4,0.35,0.9857,0.0086,CN I,0.0086,CLEAN,18,1.0,False
I,red-optical,red-optical,9103.636,1.1,5,0.243,0.8189,0.0041,Si I,0.177,CLEAN,7,0.7216,False
I,red-optical,red-optical,9119.97,1.1,5,0.5,0.994,0.006,CN I,0.006,CLEAN,65,0.9688,False
I,red-optical,red-optical,9147.957,1.1,11,0.451,0.9424,0.0488,CN I,0.0488,CLEAN,60,0.9839,False
I,red-optical,red-optical,9163.982,1.1,25,0.312,0.5865,0.0577,V I,0.3462,BLENDED,4,0.9706,False
I,red-optical,red-optical,9164.57,1.1,25,0.312,0.5865,0.0577,V I,0.3462,BLENDED,6,0.9706,False
I,red-optical,red-optical,9173.675,1.1,9,0.294,0.898,0.102,CN I,0.102,CLEAN,9,1.0,False
I,NIR,NIR,9214.499,1.4,11,0.375,0.9093,0.08,CN I,0.08,CLEAN,2,1.0,False
I,NIR,NIR,9258.267,1.4,10,0.692,0.9017,0.0246,Ni I,0.0347,CLEAN,2,1.0,False
I,NIR,NIR,9259.005,1.4,12,0.702,0.8903,0.0385,CN I,0.0385,CLEAN,2,1.0,False
I,NIR,NIR,9294.534,1.4,8,0.255,0.8745,0.0118,Cr I,0.1137,CLEAN,1,1.0,False
I,NIR,NIR,9311.514,1.4,6,0.207,0.4444,0.1981,Si I,0.3092,TARGET-NOT-DOMINANT,2,0.5897,False
I,NIR,NIR,9318.179,1.4,8,0.311,0.627,0.1447,Si I,0.2283,BLENDED,2,0.728,False
I,NIR,NIR,9350.415,1.4,5,0.366,0.9126,0.0874,CN I,0.0874,CLEAN,1,1.0,False
I,NIR,NIR,9354.628,1.4,3,0.142,0.9437,0.0,Mn I,0.0493,CLEAN,1,1.0,False
I,NIR,NIR,9388.184,1.4,20,0.339,0.6962,0.056,Si I,0.174,BLENDED,3,0.7815,False
I,NIR,NIR,9410.159,1.4,37,0.366,0.694,0.1311,CN I,0.1311,BLENDED,2,1.0,False
I,NIR,NIR,9414.042,1.4,20,2.218,0.1785,0.0135,Mg I,0.5316,TARGET-NOT-DOMINANT,10,0.1816,False
I,NIR,NIR,9437.793,1.4,18,0.829,0.2425,0.0495,Mg I,0.5525,TARGET-NOT-DOMINANT,5,0.2653,False
I,NIR,NIR,9452.336,1.4,10,0.163,0.6994,0.1595,CN I,0.1595,BLENDED,1,1.0,False
I,NIR,NIR,9454.194,1.4,10,0.296,0.7331,0.1081,S I,0.125,BLENDED,1,1.0,False
I,NIR,NIR,9463.028,1.4,9,0.213,0.7136,0.2864,CN I,0.2864,BLENDED,1,1.0,True
I,NIR,NIR,9507.152,1.4,9,0.187,0.5615,0.0214,Ti I,0.3369,BLENDED,1,1.0,False
I,NIR,NIR,9550.957,1.4,8,0.128,0.6875,0.1562,CN I,0.1562,BLENDED,1,1.0,False
I,NIR,NIR,9626.823,1.4,8,0.634,0.9448,0.0189,Si I,0.0268,CLEAN,3,1.0,False
I,NIR,NIR,9768.313,1.4,4,0.136,0.3897,0.0074,Si I,0.5221,TARGET-NOT-DOMINANT,2,0.4274,False
I,NIR,NIR,9783.993,1.4,12,0.695,0.2201,0.0072,Ti I,0.7108,TARGET-NOT-DOMINANT,3,0.2365,False
I,NIR,NIR,9786.641,1.4,28,0.495,0.2889,0.0343,Ti I,0.5434,TARGET-NOT-DOMINANT,2,0.3423,False
I,NIR,NIR,9913.18,1.4,28,0.28,0.5143,0.05,Co I,0.2571,BLENDED,1,1.0,False
I,NIR,NIR,9944.207,1.4,5,0.146,0.8973,0.1027,CN I,0.1027,CLEAN,1,1.0,False
I,NIR,NIR,10142.844,1.4,6,0.106,0.8113,0.1698,CN I,0.1698,CLEAN,1,1.0,False
I,NIR,NIR,10216.313,1.4,3,0.419,0.9809,0.0,Cr I,0.0191,CLEAN,1,1.0,False
I,NIR,NIR,10435.355,1.4,21,0.102,0.8137,0.0392,Mn I,0.1471,CLEAN,1,1.0,False
I,NIR,NIR,10863.518,1.4,4,0.382,0.7539,0.0,Ca I,0.1283,BLENDED,1,1.0,False
I,NIR,NIR,11013.235,1.4,10,0.419,0.4129,0.2053,Si I,0.3819,TARGET-NOT-DOMINANT,2,0.5195,True
II,near-UV,near-UV,3002.644,0.4,68,14.592,0.1329,0.0003,Ni I,0.3398,TARGET-NOT-DOMINANT,66,0.133,False
II,near-UV,near-UV,3170.337,0.4,56,5.682,0.17,0.1211,Ni I,0.2761,TARGET-NOT-DOMINANT,50,0.1934,False
II,near-UV,near-UV,3183.114,0.4,100,31.783,0.0477,0.0526,V I,0.5371,TARGET-NOT-DOMINANT,92,0.0503,False
II,near-UV,near-UV,3186.737,0.4,76,18.875,0.052,0.0612,Co I,0.5722,TARGET-NOT-DOMINANT,63,0.0554,False
II,near-UV,near-UV,3192.909,0.4,65,26.746,0.0366,0.0514,Co I,0.6187,TARGET-NOT-DOMINANT,57,0.0385,False
II,near-UV,near-UV,3193.799,0.4,104,13.34,0.1462,0.013,Cu I,0.3603,TARGET-NOT-DOMINANT,100,0.1481,False
II,near-UV,near-UV,3196.07,0.4,58,8.255,0.1205,0.0252,Fe I,0.2489,TARGET-NOT-DOMINANT,53,0.1236,False
II,near-UV,near-UV,3210.444,0.4,38,10.477,0.0987,0.0923,Co I,0.4265,TARGET-NOT-DOMINANT,32,0.1087,False
II,near-UV,near-UV,3213.309,0.4,27,7.045,0.1404,0.1175,Fe I,0.2204,TARGET-NOT-DOMINANT,20,0.1591,False
II,near-UV,near-UV,3227.742,0.4,47,23.775,0.0415,0.0037,Mn I,0.5974,TARGET-NOT-DOMINANT,44,0.0417,False
II,near-UV,near-UV,3255.887,0.4,71,20.244,0.0485,0.0212,Mn I,0.5461,TARGET-NOT-DOMINANT,64,0.0495,False
II,near-UV,near-UV,3277.348,0.4,93,22.194,0.0443,0.0154,Co I,0.5985,TARGET-NOT-DOMINANT,86,0.045,False
II,VIS,VIS,4233.162,0.62,62,6.896,0.1262,0.0505,V I,0.4537,TARGET-NOT-DOMINANT,34,0.17,False
II,VIS,VIS,4303.17,0.62,66,7.029,0.111,0.4376,CH I,0.4376,TARGET-NOT-DOMINANT,35,0.2047,True
II,VIS,VIS,4351.762,0.62,59,6.787,0.123,0.0964,Cr I,0.2645,TARGET-NOT-DOMINANT,35,0.1696,False
II,VIS,VIS,4385.377,0.62,124,12.886,0.0576,0.0631,Sc II,0.7299,TARGET-NOT-DOMINANT,32,0.1892,False
II,VIS,VIS,4416.819,0.62,121,7.683,0.1058,0.0075,V I,0.4807,TARGET-NOT-DOMINANT,34,0.2365,False
II,VIS,VIS,4508.28,0.62,21,1.274,0.6083,0.0149,Fe I,0.2119,BLENDED,15,0.5273,False
II,VIS,VIS,4522.628,0.62,81,15.213,0.0527,0.002,La II,0.7197,TARGET-NOT-DOMINANT,31,0.2245,False
II,VIS,VIS,4549.466,0.62,67,11.443,0.0802,0.0029,Co I,0.698,TARGET-NOT-DOMINANT,42,0.2576,False
II,VIS,VIS,4583.829,0.62,31,2.761,0.3625,0.0033,Fe I,0.2191,TARGET-NOT-DOMINANT,25,0.4514,False
