ion,band,synth_band,wavelength_air_A,half_width_A,n_transitions,summed_depth_window,depth_share_target,molecular_share,top_contaminant,top_contaminant_share,verdict,synth_n_transitions,synth_depth_share_target,synthesis_blind_to_molecular
I,near-UV,near-UV,3570.254,0.4,61,16.124,0.1863,0.0122,Mn I,0.7889,TARGET-NOT-DOMINANT,47,0.1886,False
I,near-UV,near-UV,3581.193,0.4,48,9.323,0.197,0.072,Sc II,0.7208,TARGET-NOT-DOMINANT,15,0.2123,False
I,near-UV,near-UV,3603.681,0.4,21,6.662,0.4,0.0005,Cr II,0.3729,TARGET-NOT-DOMINANT,18,0.4002,False
I,near-UV,near-UV,3604.372,0.4,52,11.79,0.1701,0.0011,Co I,0.6344,TARGET-NOT-DOMINANT,45,0.1702,False
I,near-UV,near-UV,3610.159,0.4,60,21.043,0.1017,0.0006,Mn I,0.4147,TARGET-NOT-DOMINANT,53,0.1018,False
I,near-UV,near-UV,3610.695,0.4,57,13.591,0.113,0.0015,Ni I,0.3496,TARGET-NOT-DOMINANT,48,0.1132,False
I,near-UV,near-UV,3618.299,0.4,62,11.278,0.5369,0.0003,Co I,0.4272,BLENDED,61,0.537,False
I,near-UV,near-UV,3623.773,0.4,53,17.304,0.3113,0.0002,Mn I,0.586,TARGET-NOT-DOMINANT,50,0.3114,False
I,near-UV,near-UV,3625.141,0.4,39,12.813,0.072,0.0003,Co I,0.72,TARGET-NOT-DOMINANT,35,0.072,False
I,near-UV,near-UV,3630.347,0.4,32,14.208,0.1496,0.0002,Sc II,0.7494,TARGET-NOT-DOMINANT,30,0.1496,False
I,near-UV,near-UV,3645.075,0.4,103,44.624,0.0825,0.0031,Sc II,0.4019,TARGET-NOT-DOMINANT,99,0.0827,False
I,near-UV,near-UV,3664.537,0.4,59,11.627,0.2669,0.0194,Sc II,0.4249,TARGET-NOT-DOMINANT,55,0.2726,False
I,near-UV,near-UV,3704.461,0.4,44,24.047,0.0735,0.0005,V I,0.631,TARGET-NOT-DOMINANT,40,0.0735,False
I,near-UV,near-UV,3721.272,0.4,59,8.487,0.6909,0.0011,Ti II,0.1121,BLENDED,57,0.6917,False
I,near-UV,near-UV,3730.386,0.4,65,18.044,0.224,0.0015,Co I,0.5566,TARGET-NOT-DOMINANT,60,0.2243,False
I,near-UV,near-UV,3735.324,0.4,20,3.039,0.5772,0.0155,Nd II,0.1435,BLENDED,12,0.5862,False
I,near-UV,near-UV,3738.305,0.4,65,4.509,0.3819,0.0696,Cr II,0.1688,TARGET-NOT-DOMINANT,54,0.4105,False
I,near-UV,near-UV,3742.617,0.4,25,3.805,0.6633,0.0053,Cr I,0.1658,BLENDED,20,0.6668,False
I,near-UV,near-UV,3769.987,0.4,99,3.294,0.6682,0.0012,Ti II,0.0929,BLENDED,97,0.669,False
I,near-UV,near-UV,3776.454,0.4,58,8.432,0.1103,0.0004,Mn I,0.3432,TARGET-NOT-DOMINANT,56,0.1103,False
