element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,4373.561,,,7.612,True,nan,3.0176,5.8517,-1.84,1,gt02,"transition energy Eup-Elo 2.8341 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8341000000000003,,,0.04484121583811944,
Fe,I,VIS,4401.29,,,7.673,True,nan,3.6025,6.4187,-0.99,1,gt02,"transition energy Eup-Elo 2.8162 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8162000000000003,,,0.10434802454055667,
Fe,I,VIS,4408.413,,,7.452,True,nan,2.1979,5.0095,-1.74,1,gt02,"transition energy Eup-Elo 2.8116 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8116,,,0.04735679840214278,
Fe,I,VIS,4423.841,,,7.178,True,nan,3.6537,6.4555,-1.61,1,gt02,"transition energy Eup-Elo 2.8018 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8017999999999996,,,0.07093058153221661,
Fe,I,VIS,4432.568,,,7.476,True,nan,3.5732,6.3696,-1.58,1,gt02,"transition energy Eup-Elo 2.7964 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7964,,,0.060963672213749695,
Fe,I,VIS,4447.717,,,7.298,True,nan,2.2227,5.0095,-1.36,1,gt02,"transition energy Eup-Elo 2.7868 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7868,,,0.0758532589037801,
Fe,I,VIS,4459.117,,,7.355,True,nan,2.1759,4.9556,-1.29,1,gt02,"transition energy Eup-Elo 2.7797 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 4.9556 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.7796999999999996,,,0.08160244276143724,
Fe,I,VIS,4461.968,,,7.508,True,nan,3.6025,6.3804,-1.22,2,gt02,"transition energy Eup-Elo 2.7779 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7779,,,0.09360687643632587,
Fe,I,VIS,4476.075,,,7.217,True,nan,3.6864,6.4555,-0.34,1,gt02,"transition energy Eup-Elo 2.7691 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7691,,,0.10557416110360512,
Fe,I,VIS,4480.137,,,7.536,True,nan,3.0469,5.8135,-1.93,1,gt02,"transition energy Eup-Elo 2.7666 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; lower level 3.0469 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.7666000000000004,,,0.03539459741723855,
