key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,nist_log_gf,nist_grade,nist_acc_pct,nist_ref_tp,nist_ref_line,nist_wavelength_A,nist_ei_eV,n_nist_candidates,adjudicated,delta_nist_minus_vald
23,2,V 2,3001.941,2.036,-1.597,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3001.971,8.2477,-1.478,VALD3,1,,,,,,,,0,False,
74,1,W 1,3001.975,1.7082,-0.36,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3002.028,3.283,-2.54,VALD3,1,,,,,,,,0,False,
22,1,Ti 1,3002.068,0.8995,-3.062,VALD3,1,,,,,,,,0,False,
25,2,Mn 2,3002.079,6.4934,-1.153,VALD3,1,,,,,,,,0,False,
22,1,Ti 1,3002.132,1.8732,-2.951,VALD3,1,,,,,,,,0,False,
58,2,Ce 2,3002.138,0.4456,-1.04,VALD3,1,,,,,,,,0,False,
41,2,Nb 2,3002.1989923047427,1.4058999999999997,-0.4600672509694991,VALD3,19,,,,,,,,0,False,
42,1,Mo 1,3002.215,0.0,-2.355,VALD3,1,,,,,,,,0,False,
28,1,Ni 1,3002.2251034803257,1.9508000000000003,-3.618889914763127,VALD3,5,,,,,,,,0,False,
77,1,Ir 1,3002.2559999999994,1.2247,-0.99,VALD3,1,,,,,,,,0,False,
78,1,Pt 1,3002.264,0.1021,-1.78,VALD3,1,,,,,,,,0,False,
29,1,Cu 1,3002.281,5.6811,-1.259,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3002.319,3.9442,-1.662,VALD3,1,,,,,,,,0,False,
25,1,Mn 1,3002.375,4.3446,-0.652,VALD3,1,,,,,,,,0,False,
66,2,Dy 2,3002.3859999999995,1.3135,-0.124,VALD3,1,,,,,,,,0,False,
90,2,Th 2,3002.401,0.2306,-1.052,VALD3,1,,,,,,,,0,False,
68,2,Er 2,3002.406,0.8462,0.39,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3002.408,3.0173,-4.775,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3002.409,3.2112,-1.917,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3002.429,3.2657,-2.809,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3002.436,3.274,-4.438,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3002.44,2.4534,-5.334,VALD3,1,,,,,,,,0,False,
28,1,Ni 1,3002.4854406311456,0.0254,-0.05988991476312666,VALD3,5,,,,,,,,0,False,
24,1,Cr 1,3002.519,2.7099,-3.688,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3002.567,3.3752,-1.311,VALD3,1,,,,,,,,0,False,
70,2,Yb 2,3002.608,5.1675,0.29999999999999993,VALD3,1,,,,,,,,0,False,
25,1,Mn 1,3002.618,2.1782,-1.977,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3002.642,8.7179,0.09699999999999999,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3002.644,1.6953,-0.93,VALD3,1,,,,,,,,0,False,
46,1,Pd 1,3002.6490000000003,0.8138,-1.06,VALD3,1,,,,,,,,0,False,
23,1,V 1,3002.6539988561635,1.0806,-0.7398878507483916,VALD3,18,,,,,,,,0,False,
25,2,Mn 2,3002.675,4.1223,-3.326,VALD3,1,,,,,,,,0,False,
22,1,Ti 1,3002.725,0.048,-2.31,VALD3,1,,,,,,,,0,False,
58,2,Ce 2,3002.743,0.5593,-1.2,VALD3,1,,,,,,,,0,False,
74,1,W 1,3002.827,2.4581,-0.11,VALD3,1,,,,,,,,0,False,
64,2,Gd 2,3002.862,0.9909,0.32,VALD3,1,,,,,,,,0,False,
23,1,V 1,3002.867,2.0975,-1.827,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3002.991,2.9151,-2.53,VALD3,1,,,,,,,,0,False,
73,2,Ta 2,3002.993927216415,1.6812384615384617,0.29008762247995656,VALD3,13,,,,,,,,0,False,
25,2,Mn 2,3003.03,6.4948,-1.7,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3003.03,0.9582,-1.295,VALD3,1,-1.2951633937885962,C,25.0,T5720,L11631,3003.0305,0.95815732,1,True,-0.00016339378859631104
25,1,Mn 1,3003.1254165246105,2.1142,-3.3549353978037955,VALD3,16,,,,,,,,0,False,
22,2,Ti 2,3003.132,3.9707,-1.37,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3003.252,3.283,-3.158,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3003.27,3.5732,-4.264,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3003.304,2.8755,-3.596,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3003.341,2.9488,-2.948,VALD3,1,,,,,,,,0,False,
22,2,Ti 2,3003.374,1.08,-5.348,VALD3,1,,,,,,,,0,False,
23,2,V 2,3003.464112177988,1.685515384615385,-0.3299123775200435,VALD3,13,,,,,,,,0,False,
76,1,Os 1,3003.484,1.4107,-0.77,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3003.492,4.4272,-2.302,VALD3,1,,,,,,,,0,False,
58,2,Ce 2,3003.56,0.3275,-1.13,VALD3,1,,,,,,,,0,False,
64,2,Gd 2,3003.58,0.4249,-0.963,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3003.588,2.5443,-3.554,VALD3,1,,,,,,,,0,False,
28,1,Ni 1,3003.6214976789843,0.1091,-0.31988991476312667,VALD3,5,,,,,,,,0,False,
24,1,Cr 1,3003.626,3.0133,-3.461,VALD3,1,,,,,,,,0,False,
20,2,Ca 2,3003.632,7.5148,-2.26,VALD3,1,,,,,,,,0,False,
77,1,Ir 1,3003.643,0.8811,-1.1,VALD3,1,,,,,,,,0,False,
22,1,Ti 1,3003.646,1.4432,-1.448,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3003.686,3.2112,-0.411,VALD3,1,,,,,,,,0,False,
