wavelength_obs_A,wavelength_ritz_A,fik,gi,aki_s-1,nist_grade,ref_transition_probability,ref_line,ei_eV,log_gf,nist_acc_pct,wavelength_A,nist_sigma_dex,canon_index,species,canon_log_gf,canon_hfs_n,delta_nist_minus_canon,canon_shared_with
3000.4509,3000.45121,0.00892,9.0,5410000.0,B+,T5720,L11631,1.48486439,-1.095392636184552,7.0,3000.4509,0.029383777685209667,145903,Fe I,-1.095392636184552,1.0,0.0,1
3000.577,3000.5766,,9.0,,,,L11631c80,3.21118938,,,3000.577,,145907,Fe I,-1.464,1.0,,1
3000.9476,3000.9476,0.052,5.0,64200000.0,A,T3547,L11631,0.08728574,-0.585026652029182,3.0,3000.9476,0.012837224705172217,145920,Fe I,-0.585026652029182,1.0,0.0,1
3001.658,3001.65594,,5.0,,,,L11631c80,3.01725044,,,3001.658,,145940,Fe I,-4.295,1.0,,1
3001.787,3001.786,,5.0,,,,L11631c81,2.60850194,,,3001.787,,145945,Fe I,-2.508,1.0,,1
3001.827,3001.8335,,1.0,,,,L11631c80,3.11096179,,,3001.827,,-1,Fe I,,,,0
3001.924,3001.92644,,7.0,,,,L11631c80,3.01762252,,,3001.924,,145950,Fe I,-2.257,1.0,,1
3003.0305,3003.0305,0.00724,7.0,7500000.0,C,T5720,L11631,0.95815732,-1.2951633937885962,25.0,3003.0305,0.09691001300805642,145993,Fe I,-1.2951633937885962,1.0,0.0,1
3003.251,3003.2517,,3.0,,,,L11631c80,3.28302483,,,3003.251,,145996,Fe I,-3.158,1.0,,1
3003.338,3003.3408,,11.0,,,,L11631c80,2.94879294,,,3003.338,,145999,Fe I,-2.948,1.0,,1
3003.686,3003.6856,,9.0,,,,L11631c81,3.21118938,,,3003.686,,146012,Fe I,-0.411,1.0,,1
3004.1134,3004.1133,0.00377,11.0,2790000.0,B,T5720,L11631,2.4326947,-1.382265964635982,10.0,3004.1134,0.04139268515822508,146025,Fe I,-1.382265964635982,1.0,0.0,1
3004.6267,3004.62829,,7.0,,,,L11631,1.55735733,,,3004.6267,,146036,Fe I,-2.237,1.0,,1
3005.006,3005.01404,,11.0,,,,L11631c80,2.83252676,,,3005.006,,-1,Fe I,,,,0
3005.3025,3005.3026,0.00459,13.0,2940000.0,C,T5720,L11631,2.40407444,-1.224243962155902,25.0,3005.3025,0.09691001300805642,146054,Fe I,-1.224243962155902,1.0,0.0,1
3005.726,3005.72286,,7.0,,,,L11631c81,2.58810592,,,3005.726,,146067,Fe I,-1.907,1.0,,1
3005.966,3005.97303,,7.0,,,,L11631c80,2.99804479,,,3005.966,,-1,Fe I,,,,0
3006.539,3006.538,,5.0,,,,L11631c80,3.2657061,,,3006.539,,146095,Fe I,-1.67,1.0,,1
3006.596,3006.5968,,7.0,,,,L11631c80,3.24096914,,,3006.596,,-1,Fe I,,,,0
3006.608,3006.60489,,9.0,,,,L11631c81,2.55917148,,,3006.608,,146099,Fe I,-2.334,1.0,,1
3007.145,3007.1452,0.00774,9.0,7340000.0,B+,T5720,L11631,1.48486439,-1.1570165298777826,7.0,3007.145,0.029383777685209667,146117,Fe I,-1.1570165298777826,1.0,0.0,1
3007.2822,3007.28234,0.00371,5.0,2730000.0,A,T3547,L11631,0.08728574,-1.7316560860489354,3.0,3007.2822,0.012837224705172217,146121,Fe I,-1.7316560860489354,1.0,0.0,1
3007.471,3007.46655,,5.0,,,,L11631c80,2.27860466,,,3007.471,,146125,Fe I,-4.618,1.0,,1
3008.138,3008.13796,0.0485,3.0,107000000.0,A,T3547,L11631,0.11011433,-0.8371370066780739,3.0,3008.138,0.012837224705172217,146152,Fe I,-0.8371370066780739,1.0,0.0,1
3008.483,3008.4813,,5.0,,,,L11631c80,3.2657061,,,3008.483,,146166,Fe I,-1.579,1.0,,1
3008.495,3008.49392,,5.0,,,,L11631c81,3.01725044,,,3008.495,,146167,Fe I,-2.45,1.0,,1
3008.677,3008.6837,,3.0,,,,L11631c80,3.0713388,,,3008.677,,-1,Fe I,,,,0
3008.789,3008.79744,,7.0,,,,L11631c80,2.86539125,,,3008.789,,-1,Fe I,,,,0
3009.0929,3009.09315,0.00892,13.0,7770000.0,B+,T5720,L11631,2.40407444,-0.93569179331704,7.0,3009.0929,0.029383777685209667,146193,Fe I,-0.93569179331704,1.0,0.0,1
3009.5691,3009.56911,0.0194,9.0,14300000.0,C+,T5720,L11631,0.91460217,-0.757955760630449,18.0,3009.5691,0.07188200730612536,146206,Fe I,-0.757955760630449,1.0,0.0,1
3009.681,3009.6803,,1.0,,,,L11631c80,3.29183986,,,3009.681,,146209,Fe I,-2.148,1.0,,1
3010.168,3010.17303,,9.0,,,,L11631c80,2.55917148,,,3010.168,,146219,Fe I,-1.223,1.0,,1
3011.271,3011.2707,,5.0,,,,L11631c80,3.2657061,,,3011.271,,146252,Fe I,-0.948,1.0,,1
3011.474,3011.4664,,9.0,,,,L11631c80,2.55917148,,,3011.474,,-1,Fe I,,,,0
3011.4808,3011.4811,0.0663,7.0,37900000.0,B+,T5720,L11631,2.75857762,-0.3333884315809701,7.0,3011.4808,0.029383777685209667,146258,Fe I,-0.3333884315809701,1.0,0.0,1
3011.8847,3011.8852,,1.0,,,,L11631,2.48437256,,,3011.8847,,146269,Fe I,-4.084,1.0,,1
3012.4412,3012.44159,,11.0,,,,L11631,2.4326947,,,3012.4412,,146284,Fe I,-1.135,1.0,,1
3012.933,3012.9307,,5.0,,,,L11631c80,3.2657061,,,3012.933,,146307,Fe I,-2.63,1.0,,1
3012.933,3012.94014,,7.0,,,,L11631c80,2.99804479,,,3012.933,,-1,Fe I,,,,0
3013.489,3013.491,,5.0,,,,L11631c80,3.2657061,,,3013.489,,146326,Fe I,-1.465,1.0,,1
3014.099,3014.1049,,11.0,,,,L11631c80,2.94879294,,,3014.099,,-1,Fe I,,,,0
3014.1732,3014.17327,0.00025,7.0,257000.0,B,T5720,L11631,0.95815732,-2.7569619513137056,10.0,3014.1732,0.04139268515822508,146347,Fe I,-2.7569619513137056,1.0,0.0,1
3014.315,3014.31433,,9.0,,,,L11631c81,2.45343044,,,3014.315,,146352,Fe I,-2.049,1.0,,1
3015.9188,3015.9186,0.007,11.0,6300000.0,D+,T2491n,L11631,2.4326947,-1.1135092748275182,40.0,3015.9188,0.146128035678238,146401,Fe I,-1.1135092748275182,1.0,0.0,1
3016.1845,3016.18458,0.00724,5.0,8850000.0,D+,T5720,L11631,0.99011115,-1.4412914294668344,40.0,3016.1845,0.146128035678238,146408,Fe I,-1.4412914294668344,1.0,0.0,1
3017.251,3017.25835,,9.0,,,,L11631c80,2.93984587,,,3017.251,,-1,Fe I,,,,0
3017.4173,3017.417,,9.0,,,,L11631,2.93984587,,,3017.4173,,146445,Fe I,-1.127,1.0,,1
3017.627,3017.62704,0.00931,3.0,6810000.0,A,T3547,L11631,0.11011433,-1.553929064298995,3.0,3017.627,0.012837224705172217,146455,Fe I,-1.553929064298995,1.0,0.0,1
3017.861,3017.85597,,7.0,,,,L11631c81,2.99804479,,,3017.861,,146465,Fe I,-1.309,1.0,,1
3018.1348,3018.13533,,13.0,,,,L11631,2.40407444,,,3018.1348,,146471,Fe I,-1.67,1.0,,1
3018.247,3018.24668,,9.0,,,,L11631c81,2.55917148,,,3018.247,,146474,Fe I,-2.224,1.0,,1
3018.7,3018.69847,,9.0,,,,L11631c80,2.85122419,,,3018.7,,146484,Fe I,-2.846,1.0,,1
3018.9828,3018.98281,0.0141,7.0,10300000.0,C+,T5720,L11631,0.95815732,-1.0056828473303634,18.0,3018.9828,0.07188200730612536,146488,Fe I,-1.0056828473303634,1.0,0.0,1
3019.221,3019.222,,3.0,,,,L11631c80,3.28302483,,,3019.221,,146492,Fe I,-1.553,1.0,,1
3019.2873,3019.288,0.00389,9.0,2330000.0,C+,T5720,L11631,2.45343044,-1.4558078892349675,18.0,3019.2873,0.07188200730612536,146496,Fe I,-1.4558078892349675,1.0,0.0,1
3019.926,3019.92894,,5.0,,,,L11631c80,3.01725044,,,3019.926,,146512,Fe I,-4.912,1.0,,1
3020.4905,3020.49056,0.0265,5.0,19400000.0,B,T5720,L11631,0.08728574,-0.8777841217271733,10.0,3020.4905,0.04139268515822508,146529,Fe I,-0.8777841217271733,1.0,0.0,1
3020.6388,3020.63878,0.104,9.0,75900000.0,B,T5720,L11631,0.0,-0.0287241512618947,10.0,3020.6388,0.04139268515822508,146538,Fe I,-0.0287241512618947,1.0,0.0,1
3021.0725,3021.07248,0.0624,7.0,45500000.0,A,T3547,L11631,0.05156912,-0.3597173703033192,3.0,3021.0725,0.012837224705172217,146558,Fe I,-0.3597173703033192,1.0,0.0,1
3023.426,3023.4309,,5.0,,,,L11631c80,3.01725044,,,3023.426,,-1,Fe I,,,,0
3024.0324,3024.03247,0.0111,3.0,4870000.0,A,T3547,L11631,0.11011433,-1.47755576649368,3.0,3024.0324,0.012837224705172217,146631,Fe I,-1.47755576649368,1.0,0.0,1
3024.793,3024.79916,,9.0,,,,L11631c80,2.93984587,,,3024.793,,-1,Fe I,,,,0
3025.2798,3025.27956,0.000228,9.0,166000.0,B,T5720,L11631,0.91460217,-2.6878226435602213,10.0,3025.2798,0.04139268515822508,146675,Fe I,-2.6878226435602213,1.0,0.0,1
3025.6362,3025.6362,0.0804,13.0,58600000.0,B+,T5720,L11631,2.40407444,0.0191994010552879,7.0,3025.6362,0.029383777685209667,146684,Fe I,0.0191994010552879,1.0,0.0,1
3025.8422,3025.84226,0.143,1.0,34800000.0,A,T3547,L11631,0.12126572,-0.8446639625349383,3.0,3025.8422,0.012837224705172217,146692,Fe I,-0.8446639625349383,1.0,0.0,1
3026.4617,3026.46179,0.0151,5.0,11000000.0,C,T5720,L11631,0.99011115,-1.1220530483708118,25.0,3026.4617,0.09691001300805642,146712,Fe I,-1.1220530483708118,1.0,0.0,1
3027.589,3027.58893,,9.0,,,,L11631c81,2.55917148,,,3027.589,,146737,Fe I,-2.865,1.0,,1
3027.7,3027.7007,,9.0,,,,L11631c80,2.45343044,,,3027.7,,146743,Fe I,-2.786,1.0,,1
3029.074,3029.0769,,5.0,,,,L11631c80,3.03847046,,,3029.074,,146783,Fe I,-2.914,1.0,,1
3029.2338,3029.23379,0.00096,7.0,698000.0,B+,T5720,L11631,1.55735733,-2.1726307269461747,7.0,3029.2338,0.029383777685209667,146787,Fe I,-2.1726307269461747,1.0,0.0,1
3030.1481,3030.14796,0.0694,11.0,50400000.0,B+,T5720,L11631,2.4326947,-0.11724784438692,7.0,3030.1481,0.029383777685209667,146812,Fe I,-0.11724784438692,1.0,0.0,1
3030.6036,3030.6035,,5.0,,,,L11631,2.27860466,,,3030.6036,,146823,Fe I,-2.564,1.0,,1
3030.759,3030.7622,,9.0,,,,L11631c81,2.99035244,,,3030.759,,146830,Fe I,-2.649,1.0,,1
3030.958,3030.9637,,5.0,,,,L11631c80,2.27860466,,,3030.958,,-1,Fe I,,,,0
3031.2123,3031.213,,9.0,,,,L11631,2.45343044,,,3031.2123,,146846,Fe I,-0.162,1.0,,1
3031.33,3031.32444,,7.0,,,,L11631c81,2.99804479,,,3031.33,,-1,Fe I,,,,0
3031.471,3031.47593,,7.0,,,,L11631c80,2.58810592,,,3031.471,,-1,Fe I,,,,0
3031.6364,3031.63654,0.019,3.0,13800000.0,D+,T5720,L11631,1.01105568,-1.2441251443275083,40.0,3031.6364,0.146128035678238,146864,Fe I,-1.2441251443275083,1.0,0.0,1
3031.712,3031.71837,,7.0,,,,L11631c80,2.99804479,,,3031.712,,-1,Fe I,,,,0
3031.86,3031.8531,,5.0,,,,L11631c81,3.41695281,,,3031.86,,-1,Fe I,,,,0
