lab_source,lab_tag,species,lab_wavelength_A,lab_elo_eV,lab_loggf,lab_sigma_dex,canon_index,status,canon_wavelength_A,canon_ep_eV,canon_log_gf,canon_reference,canon_hfs_n,delta_lab_minus_canon
Belmonte2017,BEL17,Fe I,2132.017,0.0,-1.67,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2139.698,0.0,-1.73,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2141.718,0.051569,-2.25,0.07,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2150.185,0.087286,-2.33,0.08,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2155.02,0.087286,-2.38,0.1,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2158.92,0.051569,-2.18,0.06,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2250.79,0.0,-2.16,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2269.099,0.087286,-2.38,0.05,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2270.863,0.0,-2.46,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2272.07,0.051569,-1.71,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2283.304,0.121266,-2.25,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2292.525,0.051569,-1.64,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2476.657,0.990111,-1.14,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2487.066,1.011056,-0.83,0.02,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2501.132,0.0,-0.34,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2501.694,0.858996,-1.4,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2512.275,0.858996,-1.61,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2517.123,0.914602,-1.93,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2518.102,0.087286,-0.28,0.02,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2527.435,0.051569,0.09,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2529.835,0.110114,-1.04,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2532.876,0.958157,-2.16,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2535.607,0.121266,-0.56,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2537.459,1.484864,-1.35,0.05,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2539.587,0.958157,-2.57,0.07,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2540.916,0.914602,-2.32,0.06,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2545.978,0.087286,-0.31,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2549.525,0.990111,-2.77,0.09,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2560.557,1.011056,-2.061,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2666.812,0.858996,-1.061,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2695.036,0.858996,-2.35,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2699.107,0.914602,-1.26,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2718.436,0.990111,-0.92,0.02,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2724.953,0.958157,-1.32,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2728.021,0.914602,-1.46,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2730.982,1.011056,-1.73,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2754.427,0.958157,-1.78,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2846.83,1.484864,-2.12,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2863.43,1.484864,-1.34,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2877.301,1.484864,-1.3,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2886.317,1.557357,-2.039,0.05,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2895.035,1.557357,-1.28,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2920.691,1.607896,-1.53,0.04,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,2929.618,1.607896,-2.18,0.05,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,3026.056,2.175945,-2.077,0.1,146700,matched,3026.056,2.1759,-5.038,VALD3,1.0,2.9610000000000003
Belmonte2017,BEL17,Fe I,3067.244,0.914602,-0.42,0.03,147951,matched,3067.244,0.9146,-0.51173138450454,NIST ASD (astroquery) T5720,1.0,0.09173138450454005
Belmonte2017,BEL17,Fe I,3083.741,0.990111,-1.0,0.03,148480,matched,3083.741,0.9901,-0.8810742471742232,NIST ASD (astroquery) T5720,1.0,-0.11892575282577678
Belmonte2017,BEL17,Fe I,3099.895,1.011056,-1.19,0.03,148988,matched,3099.894,1.0111,-1.0788339493622612,NIST ASD (astroquery) T5720,1.0,-0.11116605063773877
Belmonte2017,BEL17,Fe I,3100.665,0.958157,-0.85,0.03,149014,matched,3100.665,0.9582,-0.8648673486232251,NIST ASD (astroquery) T5720,1.0,0.01486734862322514
Belmonte2017,BEL17,Fe I,3125.651,0.990111,-1.71,0.04,149754,matched,3125.651,0.9901,-1.6625407387093438,NIST ASD (astroquery) T5720,1.0,-0.04745926129065614
Belmonte2017,BEL17,Fe I,3125.683,2.404074,-0.93,0.03,-1,absent,,,,,,
Belmonte2017,BEL17,Fe I,3252.915,2.559171,-1.49,0.05,153373,matched,3252.914,2.5592,-1.4153296155356512,NIST ASD (astroquery) T5720,1.0,-0.07467038446434882
Belmonte2017,BEL17,Fe I,3264.513,2.197866,-1.95,0.06,153703,matched,3264.512,2.1979,-1.3151546383555874,NIST ASD (astroquery) T5720,1.0,-0.6348453616444125
Belmonte2017,BEL17,Fe I,3286.016,2.222712,-2.34,0.08,154321,matched,3286.016,2.2227,-2.453,VALD3,1.0,0.11299999999999999
Belmonte2017,BEL17,Fe I,3370.783,2.692408,-0.36,0.03,156792,matched,3370.783,2.6924,-0.2666422120744146,NIST ASD (astroquery) T5720,1.0,-0.09335778792558541
Belmonte2017,BEL17,Fe I,3383.979,2.175945,-1.006,0.03,157192,matched,3383.979,2.1759,-1.1056839373155616,NIST ASD (astroquery) T5720,1.0,0.09968393731556158
Belmonte2017,BEL17,Fe I,3392.305,2.197866,-1.17,0.03,157434,matched,3392.305,2.1979,-1.0680338852718274,NIST ASD (astroquery) T5720,1.0,-0.10196611472817252
Belmonte2017,BEL17,Fe I,3404.354,2.197866,-0.84,0.03,157773,matched,3404.354,2.1979,-0.8777841217271733,NIST ASD (astroquery) T5720,1.0,0.03778412172717338
Belmonte2017,BEL17,Fe I,3407.46,2.175945,-0.029,0.02,157863,matched,3407.46,2.1759,-0.0213630516155256,NIST ASD (astroquery) T5720,2.0,-0.007636948384474401
Belmonte2017,BEL17,Fe I,3415.531,2.222712,-1.49,0.04,158070,matched,3415.531,2.2227,-1.3925449767853315,NIST ASD (astroquery) T5720,1.0,-0.09745502321466848
Belmonte2017,BEL17,Fe I,3427.12,2.175945,-0.067,0.02,158347,matched,3427.119,2.1759,-0.0979971086492705,NIST ASD (astroquery) T5720,1.0,0.030997108649270494
Belmonte2017,BEL17,Fe I,3475.863,2.432695,-1.85,0.08,159599,matched,3475.863,2.4327,-1.96,VALD3,1.0,0.10999999999999988
Belmonte2017,BEL17,Fe I,3527.891,2.758577,-1.98,0.09,160859,matched,3527.891,2.7586,-1.84,VALD3,1.0,-0.1399999999999999
Belmonte2017,BEL17,Fe I,3581.193,0.858996,0.43,0.02,162216,matched,3581.193,0.859,0.4068806700491247,NIST ASD (astroquery) T3548,1.0,0.02311932995087529
Belmonte2017,BEL17,Fe I,3603.681,2.559171,-2.1,0.05,162760,matched,3603.681,2.5592,-2.012333735073726,NIST ASD (astroquery) T5720,1.0,-0.08766626492627427
Belmonte2017,BEL17,Fe I,3721.272,2.175945,-1.82,0.07,165699,matched,3721.272,2.1759,-1.7875460389597242,NIST ASD (astroquery) T5720,1.0,-0.03245396104027587
Belmonte2017,BEL17,Fe I,3730.386,3.046869,-0.69,0.03,165917,matched,3730.386,3.0469,-0.6513058097344588,NIST ASD (astroquery) T5720,1.0,-0.038694190265541106
Belmonte2017,BEL17,Fe I,3738.305,3.267112,-0.031,0.03,166098,matched,3738.305,3.2671,-0.0281677200750748,NIST ASD (astroquery) T5720,1.0,-0.002832279924925199
Belmonte2017,BEL17,Fe I,3776.455,2.175945,-1.68,0.03,167081,matched,3776.454,2.1759,-1.4930892744484818,NIST ASD (astroquery) T5720,1.0,-0.1869107255515181
Belmonte2017,BEL17,Fe I,3779.416,2.559171,-2.036,0.05,167149,matched,3779.416,2.5592,-1.9926790470772555,NIST ASD (astroquery) T5720,1.0,-0.043320952922744516
Belmonte2017,BEL17,Fe I,3789.176,2.727544,-1.33,0.03,52459,matched,3789.1755,2.7275,-1.291,VALD3,1.0,-0.039000000000000146
Belmonte2017,BEL17,Fe I,3808.282,3.01725,-1.84,0.07,52540,matched,3808.281,3.0173,-1.937,VALD3,1.0,0.09699999999999998
Belmonte2017,BEL17,Fe I,3808.729,2.559171,-1.17,0.04,52542,matched,3808.7283,2.5592,-1.159,VALD3,1.0,-0.010999999999999899
Belmonte2017,BEL17,Fe I,3813.058,2.588106,-1.01,0.02,52558,matched,3813.0577,2.5881,-1.074,VALD3,1.0,0.06400000000000006
Belmonte2017,BEL17,Fe I,3821.835,2.608502,-1.044,0.03,52601,matched,3821.8343,2.6085,-1.097,VALD3,1.0,0.052999999999999936
Belmonte2017,BEL17,Fe I,3833.308,2.559171,-0.98,0.03,52657,matched,3833.3077,2.5592,-1.032,VALD3,1.0,0.052000000000000046
Belmonte2017,BEL17,Fe I,3837.135,2.608502,-1.82,0.03,52673,matched,3837.1342,2.6085,-1.778,VALD3,1.0,-0.04200000000000004
Belmonte2017,BEL17,Fe I,3843.257,3.046869,-0.21,0.02,52697,matched,3843.2564,3.0469,-0.241,VALD3,1.0,0.031
Belmonte2017,BEL17,Fe I,3935.307,2.845042,-2.199,0.07,53157,matched,3935.3064,2.845,-1.87,VALD3,1.0,-0.32899999999999974
Belmonte2017,BEL17,Fe I,3956.455,3.23672,-0.39,0.02,53269,matched,3956.4548,3.2367,-0.343,VALD3,1.0,-0.046999999999999986
