canon_index,to_tier,log_gf,sigma_dex,loggf_reference,lab_source_tag,nist_grade,gf_source_doi,adjudication_status,delta,from_tier,kept,wavelength_air_A,species,excitation_potential_eV,old_log_gf,old_reference
58821,NIST-C+,-1.993533957750768,0.09691001300805642,NIST-C+ T4653,NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,4.649466042249232,KURUCZ,True,5487.738,Fe I,2.176,-6.643,K07
66231,LAB,-1.77,0.08,PRIMARY LAB Ruffoni2014,RU14,,10.1093/mnras/stu780,lab_rya945,3.985,KURUCZ,True,8432.174,Fe I,3.882,-5.755,K07
76025,NIST-C+,0.4409090820652177,0.029383777685209667,NIST-C+ T6892c83,NIST-C+,B+,https://physics.nist.gov/asd,nist_rya945,3.132909082065218,OTHER,True,6841.663,Fe II,11.232,-2.692,RU
146700,LAB,-2.077,0.1,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,2.9610000000000003,VALD3,True,3026.056,Fe I,2.1759,-5.038,VALD3
69217,NIST-C+,-7.97798426018228,0.07188200730612536,NIST-C+ T8961,NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,2.8300157398177195,KURUCZ,True,5048.184,Fe II,2.276,-10.808,K13
75816,NIST-C+,-0.1112590393171073,0.029383777685209667,NIST-C+ T6892c83,NIST-C+,B+,https://physics.nist.gov/asd,nist_rya945,2.7517409606828926,OTHER,True,6792.535,Fe II,11.219,-2.863,RU
53960,LAB,-2.4,0.04,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,2.6410000000000005,VALD3,True,4104.1533,Fe I,2.8316,-5.041,VALD3
80557,NIST-C+,-0.0123337350737254,0.029383777685209667,NIST-C+ T6892c83,NIST-C+,B+,https://physics.nist.gov/asd,nist_rya945,2.4936662649262744,OTHER,True,8423.925,Fe II,9.761,-2.506,RU
75865,NIST-C+,-0.2773660774661877,0.029383777685209667,NIST-C+ T6892c83,NIST-C+,B+,https://physics.nist.gov/asd,nist_rya945,1.5946339225338124,OTHER,True,6803.136,Fe II,11.232,-1.872,RU
80225,NIST-C+,-0.9295926782598803,0.07188200730612536,NIST-C+ T6892c83,NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,1.54440732174012,OTHER,True,8284.053,Fe II,9.736,-2.474,RU
80760,NIST-C+,-0.204815410317576,0.029383777685209667,NIST-C+ T6892c83,NIST-C+,B+,https://physics.nist.gov/asd,nist_rya945,1.373184589682424,OTHER,True,8508.677,Fe II,9.776,-1.578,RU
78999,NIST-C+,-0.7544873321858502,0.07188200730612536,NIST-C+ T6892c83,NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,1.2745126678141498,KURUCZ,True,7773.478,Fe II,11.435,-2.029,K13
167147,LAB,-2.46,0.08,PRIMARY LAB Ruffoni2014,RU14,,10.1093/mnras/stu780,lab_rya945,-0.931,VALD3,True,3779.201,Fe I,2.7586,-1.529,VALD3
78373,NIST-C+,-0.7851561519523022,0.07188200730612536,NIST-C+ T6892c83,NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,0.6778438480476979,OTHER,True,7532.506,Fe II,11.451,-1.463,RU
74882,NIST-C+,0.2415464805965484,0.029383777685209667,NIST-C+ T6892c83,NIST-C+,B+,https://physics.nist.gov/asd,nist_rya945,0.6565464805965484,OTHER,True,6548.391,Fe II,11.017,-0.415,RU
153703,LAB,-1.95,0.06,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,-0.6348453616444125,NIST-C+,True,3264.512,Fe I,2.1979,-1.3151546383555874,NIST ASD (astroquery) T5720
74699,NIST-C+,-0.5114492834995558,0.07188200730612536,NIST-C+ T6892c83,NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,-0.6104492834995557,KURUCZ,True,6488.402,Fe II,11.076,0.099,K13
53849,LAB,-1.73,0.11,PRIMARY LAB Ruffoni2014,RU14,,10.1093/mnras/stu780,lab_rya945,-0.53,VALD3,True,4079.1676,Fe I,3.417,-1.2,VALD3
53872,LAB,-1.41,0.04,PRIMARY LAB Ruffoni2014,RU14,,10.1093/mnras/stu780,lab_rya945,0.508,VALD3,True,4083.7628,Fe I,3.417,-1.918,VALD3
155466,NIST-C+,-2.348721986001856,0.09691001300805642,NIST-C+ T7461,NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,0.5012780139981441,VALD3,True,3325.006,Fe II,3.9674,-2.85,VALD3
78502,NIST-C+,-0.3027706572402824,0.029383777685209667,NIST-C+ T6892c83,NIST-C+,B+,https://physics.nist.gov/asd,nist_rya945,-0.4017706572402824,KURUCZ,True,7587.624,Fe II,11.238,0.099,K13
54107,LAB,-1.6,0.07,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,-0.385,VALD3,True,4140.4025,Fe I,3.417,-1.215,VALD3
63645,LAB,-1.15,0.03,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,0.381,OTHER,True,7307.931,Fe I,4.143,-1.531,BWL
68009,LAB,-2.38,0.05,PRIMARY LAB DenHartog2019,DH19,,10.3847/1538-4365/ab322e,lab_rya945,0.3600000000000003,VALD3,True,4173.4511,Fe II,2.5827,-2.74,VALD3
166916,LAB,-1.07,0.04,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,-0.3380000000000001,VALD3,True,3769.987,Fe I,2.998,-0.732,VALD3
53157,LAB,-2.199,0.07,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,-0.32899999999999974,VALD3,True,3935.3064,Fe I,2.845,-1.87,VALD3
77095,NIST-C+,-10.05749589383192,0.09691001300805642,NIST-C+ T8961,NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,0.32850410616807935,KURUCZ,True,7131.789,Fe II,1.04,-10.386,K13
70722,NIST-C+,-9.281498311132726,0.09691001300805642,NIST-C+ T8961,NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,0.3255016888672735,KURUCZ,True,5362.063,Fe II,0.232,-9.607,K13
56979,LAB,-1.73,0.1,PRIMARY LAB Ruffoni2014,RU14,,10.1093/mnras/stu780,lab_rya945,0.31999999999999984,VALD3,True,4905.133,Fe I,3.929,-2.05,VALD3
77406,NIST-C+,-9.87942606879415,0.09691001300805642,NIST-C+ T8961,NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,0.3195739312058503,KURUCZ,True,7214.724,Fe II,0.986,-10.199,K13
160412,LAB,-1.61,0.12,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,0.31899999999999995,VALD3,True,3509.725,Fe I,2.8852,-1.929,VALD3
54069,LAB,-1.64,0.1,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,-0.30899999999999994,VALD3,True,4131.9345,Fe I,3.417,-1.331,VALD3
154793,NIST-C+,-3.657577319177794,0.09691001300805642,NIST-C+ T7589,NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,-0.28557731917779394,VALD3,True,3303.465,Fe II,1.0969,-3.372,VALD3
80706,NIST-C+,-9.567030709125596,0.09691001300805642,NIST-C+ T8961,NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,-0.27903070912559613,KURUCZ,True,8489.692,Fe II,1.965,-9.288,K13
79168,NIST-C+,-0.7166987712964504,0.07188200730612536,NIST-C+ T6892c83,NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,-0.2716987712964504,KURUCZ,True,7844.68,Fe II,11.291,-0.445,K13
153983,NIST-C+,-1.9633711046378388,0.07188200730612536,NIST-C+ T7461,NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,0.2616288953621613,VALD3,True,3273.494,Fe II,4.1536,-2.225,VALD3
68288,LAB,-2.29,0.06,PRIMARY LAB DenHartog2019,DH19,,10.3847/1538-4365/ab322e,lab_rya945,-0.26000000000000023,OTHER,True,4522.628,Fe II,2.844,-2.03,KK
63416,LAB,-1.43,0.04,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,0.26,OTHER,True,7219.682,Fe I,4.076,-1.69,FMW
53958,LAB,-2.67,0.08,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,0.2570000000000001,VALD3,True,4103.6105,Fe I,3.2515,-2.927,VALD3
63579,LAB,-1.24,0.03,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,-0.25,OTHER,True,7288.736,Fe I,4.22,-0.99,GESHRL14
154086,LAB,-2.14,0.08,PRIMARY LAB DenHartog2019,DH19,,10.3847/1538-4365/ab322e,lab_rya945,0.25,VALD3,True,3277.348,Fe II,0.9863,-2.39,VALD3
153870,NIST-C+,-2.1739251972991736,0.09691001300805642,NIST-C+ T7461,NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,0.2480748027008266,VALD3,True,3269.768,Fe II,4.1493,-2.422,VALD3
68064,NIST-C+,-9.450996737974211,0.09691001300805642,"NIST-C+ T9588,T10588c109",NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,-0.24099673797421062,KURUCZ,True,4251.447,Fe II,0.352,-9.21,K13
82091,NIST-C+,-9.277366077466189,0.09691001300805642,"NIST-C+ T9588,T10588c104",NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,-0.240366077466188,KURUCZ,True,9051.951,Fe II,0.301,-9.037,K13
53782,LAB,-0.81,0.03,PRIMARY LAB Ruffoni2014,RU14,,10.1093/mnras/stu780,lab_rya945,-0.2360000000000001,VALD3,True,4063.2757,Fe I,3.3683,-0.574,VALD3
153531,NIST-C+,-0.9229956732066495,0.04139268515822508,NIST-C+ T7461,NIST-C+,B,https://physics.nist.gov/asd,nist_rya945,0.23100432679335037,VALD3,True,3258.773,Fe II,3.8916,-1.154,VALD3
55096,LAB,-2.4,0.09,PRIMARY LAB Belmonte2017,BEL17,,10.3847/1538-4357/aa8cd3,lab_rya945,0.22999999999999998,OTHER,True,4372.982,Fe I,3.017,-2.63,FMW
53312,LAB,-1.55,0.04,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,0.22799999999999998,VALD3,True,3965.5086,Fe I,3.241,-1.778,VALD3
80928,NIST-C+,-8.371815491926588,0.09691001300805642,NIST-C+ T8961,NIST-C+,C,https://physics.nist.gov/asd,nist_rya945,-0.227815491926588,KURUCZ,True,8574.854,Fe II,2.522,-8.144,K13
149194,NIST-C+,-1.665546248849069,0.07188200730612536,NIST-C+ T7461,NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,0.22545375115093091,VALD3,True,3106.564,Fe II,3.8143,-1.891,VALD3
65183,LAB,0.0,0.02,PRIMARY LAB Ruffoni2014,RU14,,10.1093/mnras/stu780,lab_rya945,-0.225,KURUCZ,True,7945.846,Fe I,4.387,0.225,K07
53959,LAB,-1.27,0.04,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,-0.22399999999999998,VALD3,True,4104.1134,Fe I,3.2657,-1.046,VALD3
57736,LAB,0.36,0.02,PRIMARY LAB DenHartog2014,DH14,,10.1088/0067-0049/215/2/23,lab_rya945,0.21999999999999997,VALD3,True,5133.688,Fe I,4.178,0.14,VALD3
151278,NIST-C+,-0.6819366650372385,0.07188200730612536,NIST-C+ T7461,NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,0.21306333496276153,VALD3,True,3177.534,Fe II,3.9034,-0.895,VALD3
81052,NIST-C+,-8.669586226650809,0.07188200730612536,"NIST-C+ T9588,T10588c104",NIST-C+,C+,https://physics.nist.gov/asd,nist_rya945,-0.21158622665080884,KURUCZ,True,8616.95,Fe II,0.232,-8.458,K13
