element,ion,band,instrument,treatment,handler,A,n_lines,n_excluded,stat_dex,syst_dex,stat_basis,dominant,route,scale,model,atmos,gf,route_basis
Al,I,red-optical,kpno_solar_atlas,1D-LTE,ProfileFitHandler,6.47,6,0,0.0517,0.1731,"measured — RMS of the random terms, 0.05170 dex at n_lines=6",gf scale (UNGRADED),ew,1D-LTE,none,atlas9,kurucz,handler
Al,I,red-optical,kpno_solar_atlas,ENGINE-A,ProfileFitHandler,6.38,4,2,0.0374,0.1731,"measured — RMS of the random terms, 0.03745 dex at n_lines=4",gf scale (UNGRADED),ew,1D-NLTE,amarsi,atlas9,kurucz,handler
Al,I,red-optical,kpno_solar_atlas,ENGINE-B,SynthesisHandler,6.387,6,0,0.0285,0.1726,"measured — RMS of the random terms, 0.02853 dex at n_lines=6",gf scale (UNGRADED),synth,1D-LTE,none,atlas9,kurucz,handler
