element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,continuum_level,continuum_method,continuum_ref,nlte_delta_dex,nlte_source,ew_inversion,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Al,I,7361.568,kpno_solar_atlas,81.00297119810455,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.503; red_chi2=1.698; n_pix=50; window +/-0.249 A wing-wide from EW 50 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",6.503,-4.958469378948825,ENGINE-B,True,,,,,,4.0215,,,,0.0,"none — LTE, no departure applied",False,,,,0.014034915658935557,38.55937888122521,2.5029957369223412,1.698
Al,I,7362.296,kpno_solar_atlas,63.417808219677966,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.355; red_chi2=7.543; n_pix=58; window +/-0.286 A wing-wide from EW 64 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",6.355,-5.064802045889491,ENGINE-B,True,,,,,,4.0216,,,,0.0,"none — LTE, no departure applied",False,,,,0.026198208462233752,8.83066674462479,2.355100768213765,7.543
Al,I,7835.309,kpno_solar_atlas,107.85262881149015,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.419; red_chi2=1.532; n_pix=59; window +/-0.265 A wing-wide from EW 56 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",6.419,-4.861225393246259,ENGINE-B,True,,,,,,4.0215,,,,0.0,"none — LTE, no departure applied",False,,,,0.009661226203669718,80.32559383027645,2.419158567224377,1.532
Al,I,7836.134,kpno_solar_atlas,113.54100722336497,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.438; red_chi2=0.345; n_pix=70; window +/-0.307 A wing-wide from EW 72 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",6.438,-4.838949111401701,ENGINE-B,True,,,,,,4.0216,,,,0.0,"none — LTE, no departure applied",False,,,,0.004155178001057025,511.59620586534055,2.43786126285677,0.345
Al,I,8772.865,kpno_solar_atlas,155.78300489538245,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.316; red_chi2=6.125; n_pix=65; window +/-0.365 A wing-wide from EW 94 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.10 A, not the measurement",6.316,-4.750621369648194,ENGINE-B,True,,,,,,4.0215,,,,0.0,"none — LTE, no departure applied",False,,,,0.01930224608107012,38.268892740135065,2.3156452601543087,6.125
Al,I,8773.8975,kpno_solar_atlas,189.73944463399405,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.345; red_chi2=3.374; n_pix=73; window +/-0.405 A wing-wide from EW 110 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.21 A, not the measurement",6.345,-4.665034931435962,ENGINE-B,True,,,,,,4.0216,,,,0.0,"none — LTE, no departure applied",False,,,,0.013907352063641146,86.99888429964588,2.34500909075605,3.374
