element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,4203.938,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",6.875,,synth-1D-LTE-gerber,True,,3.634,False,0.05517120858449649,6.844191210486871,2.3787039752482997,101.41,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4233.602,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.236,,synth-1D-LTE-gerber,True,,2.482,False,0.053086806655547415,10.14581893951257,2.7402700410395404,119.977,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4245.344,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.326,,synth-1D-LTE-gerber,True,,3.332,False,0.08850991995837021,5.165932192003447,2.8299443486180147,80.202,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4259.999,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.347,,synth-1D-LTE-gerber,True,,3.332,False,0.04428639201417815,7.6558142083889855,2.8510821747329365,88.045,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4276.675,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.677,,synth-1D-LTE-gerber,True,,3.882,False,0.15034537296884726,0.7310732796011616,3.1805406712490143,203.646,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4278.23,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.415,,synth-1D-LTE-gerber,True,,3.368,False,0.04234713786594604,4.501343984805154,2.918939815440159,51.615,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4286.863,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",8.445,,synth-1D-LTE-gerber,True,,3.417,False,0.14053960082263722,0.6804402817644659,3.948967945160322,327.83,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4287.94,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.553,,synth-1D-LTE-gerber,True,,3.43,False,0.020722281004311796,4.221708688505248,3.057013823598541,33.668,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4289.08,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.436,,synth-1D-LTE-gerber,True,,3.368,False,0.15278616741176948,0.6923324230095981,2.93982999088409,348.425,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4289.915,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",6.785,,synth-1D-LTE-gerber,True,,3.397,False,0.055506436975016255,2.057369534046121,2.289330389095298,39.158,0.0,"none — LTE, no departure applied",native,,,,,,,,
