element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,II,4233.162,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0420[uncorrected: no telluric band registered]",7.462,,ENGINE-B,True,,2.583,False,0.046297955720545535,4.189139271894995,2.966414461655864,114.818,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,4303.17,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0428[uncorrected: no telluric band registered]",10.075,,ENGINE-B,True,,2.704,False,0.2074863331100239,0.1919941291855293,2.421078130280698,1132.642,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,4351.762,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0432[uncorrected: no telluric band registered]",7.072,,ENGINE-B,True,,2.704,False,0.09911558604578094,2.0024610092172157,2.5760014594748997,68.228,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,4385.377,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0436[uncorrected: no telluric band registered]",8.332,,ENGINE-B,True,,2.778,False,0.06954251937336253,2.3817714575578157,3.836226919161507,175.491,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,4416.819,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0440[uncorrected: no telluric band registered]",7.548,,ENGINE-B,True,,2.778,False,0.04639783231746336,12.522050515358655,3.0524055514226083,27.137,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,4508.28,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0448[uncorrected: no telluric band registered]",7.569,,ENGINE-B,True,,2.856,False,0.02981102521102779,33.4149379921968,3.0733479592540744,11.059,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,4522.628,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0452[uncorrected: no telluric band registered]",7.937,,ENGINE-B,True,,2.844,False,0.12610961046900576,1.6510426415821364,3.4412016175479465,74.755,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,4549.466,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0452[uncorrected: no telluric band registered]",7.675,,ENGINE-B,True,,2.828,False,0.0765190793852966,7.747956110910754,3.179377142739602,42.495,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,4583.829,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0456[uncorrected: no telluric band registered]",7.201,,ENGINE-B,True,,2.807,False,0.04674016524541068,14.762751660897862,2.704626655471481,36.904,0.0,"none — LTE, no departure applied",native,,,,,,,,
