wave,band,ew,a_lte,delta,a_a,gf_ref,loggf,gf_semi_empirical,disp
6698.6715,VIS,28.502923935649964,6.35546875,-0.01713818181818183,6.338330568181818,1995JPhB..,-1.647,False,ENGINE-A: grid-served
7836.134,red-optical,71.92586415480511,6.478515625,-0.025847727272727286,6.452667897727273,K75,-0.49399072748186845,True,ENGINE-A: grid-served | gf=K75 SEMI-EMPIRICAL (RYA-161 0.1-0.3 dex)
8772.865,red-optical,94.26682765879336,6.35546875,-0.03408045454545458,6.321388295454545,1995JPhB..,-0.16999999999999998,False,ENGINE-A: grid-served
8773.8975,red-optical,109.5137117963516,6.35546875,-0.0438986363636364,6.311570113636364,1995JPhB..,-0.02300000000000002,False,ENGINE-A: grid-served
