element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,4203.938,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0420[uncorrected: no telluric band registered]",6.872,,1D-LTE,True,,3.634,False,0.055641651257023764,6.563418863012296,2.376023786564617,108.256,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4233.602,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0420[uncorrected: no telluric band registered]",7.206,,1D-LTE,True,,2.482,False,0.047034308187164954,5.997697045984014,2.7101262822590284,116.901,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4245.344,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0424[uncorrected: no telluric band registered]",7.297,,1D-LTE,True,,3.332,False,0.05142767932810828,4.977462526059831,2.8010892301815673,50.644,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4259.999,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0424[uncorrected: no telluric band registered]",7.319,,1D-LTE,True,,3.332,False,0.04586091007218589,4.632721421458212,2.823149280521574,88.116,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4276.675,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0424[uncorrected: no telluric band registered]",7.69,,1D-LTE,True,,3.882,False,0.15296811793256826,0.6408229797806088,3.1939057848762493,240.055,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4278.23,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0424[uncorrected: no telluric band registered]",7.395,,1D-LTE,True,,3.368,False,0.042638818993379624,4.47855360081544,2.8993522583189044,51.924,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4286.863,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0428[uncorrected: no telluric band registered]",12.488,,1D-LTE,False,SYNTHESIS: edge_pinned,3.417,False,,-1.3950851500980278e-05,0.008240645350605647,395.613,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4287.94,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0428[uncorrected: no telluric band registered]",7.242,,1D-LTE,True,,3.43,False,0.06471033876641598,5.146964585526641,2.746447009513142,29.548,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4289.08,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0428[uncorrected: no telluric band registered]",7.43,,1D-LTE,True,,3.368,False,0.18401431283946376,0.5756554543812566,2.9344361825078575,423.37,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4289.915,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0428[uncorrected: no telluric band registered]",6.781,,1D-LTE,True,,3.397,False,0.06209558174887166,1.6608757113739316,2.284586780620467,49.6,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4326.753,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0432[uncorrected: no telluric band registered]",7.439,,1D-LTE,True,,2.949,False,0.03806452261071761,10.086903917870126,2.9425368702948553,84.239,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4344.499,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0432[uncorrected: no telluric band registered]",7.061,,1D-LTE,True,,3.603,False,0.08990421973163946,1.0723203021221097,2.5653005381218374,53.328,0.0,"none — LTE, no departure applied",native,,,,,,,,
