element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
O,I,7771.944,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0776[uncorrected: no telluric band registered]",8.976,,1D-LTE,True,,9.146,False,0.07069713225396487,1.647263663198622,3.289743672975522,40.529,0.0,"none — LTE, no departure applied",native,,,,,,,,
O,I,8446.359,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0844[uncorrected: no telluric band registered]",8.807,,1D-LTE,True,,9.521,False,0.08865281618157908,0.43305342118182266,3.1208830093515694,48.726,0.0,"none — LTE, no departure applied",native,,,,,,,,
