element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Al,I,7084.643,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.022,True,,,,36.908,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Al,I,7362.296,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.022,True,,,,39.795,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Al,I,7836.134,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.4331522727272725,,ENGINE-A,True,,4.022,True,,,,42.265,-0.025847727272727286,"Al_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) departure grid via PySME; Al I model atom Nordlander & Lind 2017 (A&A 607, A75); RYA-402 PySME-derived deltas); PER-LINE additive correction",,,,,,,,,
Al,I,8773.896,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.326101363636364,,ENGINE-A,True,,4.022,True,,,,59.436,-0.0438986363636364,"Al_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) departure grid via PySME; Al I model atom Nordlander & Lind 2017 (A&A 607, A75); RYA-402 PySME-derived deltas); PER-LINE additive correction",,,,,,,,,
