element,ion,band,instrument,treatment,handler,A,n_lines,n_excluded,stat_dex,syst_dex,stat_basis,dominant,route,scale,model,atmos,gf,route_basis
Fe,I,VIS,harps,1D-LTE,ProfileFitHandler,7.498,6,0,0.0699,0.0935,"measured — RMS of the random terms, 0.06993 dex at n_lines=6",gf scale (cited lab),ew,1D-LTE,none,atlas9,kurucz,handler
Fe,I,VIS,harps,ENGINE-A,ProfileFitHandler,7.433,5,1,0.0772,0.0919,"measured — RMS of the random terms, 0.07716 dex at n_lines=5",gf scale (cited lab),ew,1D-NLTE,bergemann,atlas9,kurucz,handler
Fe,I,VIS,harps,ENGINE-B,SynthesisHandler,7.431,5,1,0.0685,0.1005,"measured — RMS of the random terms, 0.06849 dex at n_lines=5",gf scale (cited lab),synth,1D-LTE,none,atlas9,kurucz,handler
