element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,15051.749,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.775,,1D-LTE,True,,5.3516,False,0.09433194928606135,3.1011371887253683,3.279067935981523,29.989,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15080.22,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",8.929,,1D-LTE,True,,6.264,False,0.16910297286956585,0.23951521238178353,3.567113147998981,109.352,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15207.526,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.654,,1D-LTE,True,,5.3852,False,0.020139319611752204,73.58109337483175,3.158485269071459,1.008,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15294.56,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.52,,1D-LTE,True,,5.3085,False,0.07502195512271694,3.8215505943581793,3.023900887774004,66.718,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15335.383,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",4.501,,1D-LTE,False,SYNTHESIS: edge_pinned,5.4099,False,,0.0,0.0052639309534256995,6.965,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15591.49,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.584,,1D-LTE,True,,6.2416,False,0.023590928953349303,55.55313498113816,3.0875998809049676,2.769,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15604.22,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.14,,1D-LTE,True,,6.2416,False,0.047899100808370454,11.138740285193617,2.6443323723933148,7.627,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15631.948,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.655,,1D-LTE,True,,5.3516,False,0.17427741279379347,0.9299792955206064,3.158799314422388,132.184,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15648.51,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.301,,1D-LTE,True,,5.426,False,0.02210215785594069,7.530361632194135,2.805498812060888,4.647,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15682.016,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.436,,1D-LTE,True,,5.4099,False,0.044253967504850236,2.464770234995487,2.9403390119732036,5.04,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15691.853,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.77,,1D-LTE,True,,6.2461,False,0.0416277346852249,6.370472155959294,3.2736415114231168,8.756,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,15692.747,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.86,,1D-LTE,True,,5.3852,False,0.3970507913566599,0.1128814971961085,3.364270564877388,154.323,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,16153.247,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.426,,1D-LTE,True,,5.3516,False,0.03060157761033909,14.864419368201379,2.929865840170735,3.136,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,16165.029,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.648,,1D-LTE,True,,6.3192,False,0.20795403123910206,0.904435276742986,3.151791344619409,133.147,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,16179.583,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",7.437,,1D-LTE,True,,6.3192,False,0.017579545641312814,41.75513786406843,2.940761227922428,2.578,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,16198.503,crires_plus,,"synthesis flux-fit, FIXED half-width +/-1.89 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_crires_plus_h_rya1094 · vesta_crires_plus_H_15007_17494_normalized.csv",4.507,,1D-LTE,False,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -8.26e-06 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",5.4099,False,1.4071342769445065,-8.259207779748393e-06,0.010955617606643209,83.278,0.0,"none — LTE, no departure applied",native,,,,,,,,
