element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,6916.68,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0688[uncorrected: no telluric band registered]",7.552,,ENGINE-B-NLTE,True,,4.154,False,0.07264323837868258,1.4227552183747407,3.056202825216805,53.577,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
Fe,I,6977.429,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0696[uncorrected: no telluric band registered]",7.678,,ENGINE-B-NLTE,True,,4.593,False,0.05828225442470602,0.8551456514593183,3.181853328748266,42.966,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
Fe,I,6999.883,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0696,lm0700[uncorrected: no telluric band registered]",7.653,,ENGINE-B-NLTE,True,,4.103,False,0.06355390833575537,0.7314147668170132,3.1565848823613765,81.177,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
Fe,I,7007.966,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0700[uncorrected: no telluric band registered]",7.457,,ENGINE-B-NLTE,True,,4.178,False,0.08661558228050716,0.3098606415274484,2.9611895978300815,63.64,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
Fe,I,7016.39,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0700[uncorrected: no telluric band registered]",8.0,,ENGINE-B-NLTE,True,,4.154,False,0.06199600509300678,4.2785733437286195,3.5037816575416354,58.393,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
Fe,I,7022.952,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0700[uncorrected: no telluric band registered]",7.545,,ENGINE-B-NLTE,True,,4.191,False,0.07978771080932243,1.2431221790965894,3.049474058771577,79.498,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
Fe,I,7071.86,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0704[uncorrected: no telluric band registered]",6.857,,ENGINE-B-NLTE,True,,4.607,False,0.2055100476416669,0.058886916394284845,2.3609342620040534,44.115,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
Fe,I,7130.921,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0712[uncorrected: no telluric band registered]",7.561,,ENGINE-B-NLTE,True,,4.218,False,0.04842542654271821,6.149737787351437,3.0654932964826793,24.678,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
Fe,I,7411.153,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0740[uncorrected: no telluric band registered]",7.5,,ENGINE-B-NLTE,True,,4.283,False,0.06529501873453318,3.501745944372452,3.0037634115982472,52.832,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
Fe,I,7443.022,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0744[uncorrected: no telluric band registered]",7.546,,ENGINE-B-NLTE,True,,4.186,False,0.07977984397205026,0.6513883617134639,3.050213912067913,46.965,,"departures applied in the radiative transfer — no additive per-line delta exists on this route; the effect is the paired difference against this deck's LTE member, reported in nlte_effect.json (RYA-1040/1104)",native,,,,,,,,
