element,ion,band,instrument,treatment,handler,A,n_lines,n_excluded,stat_dex,syst_dex,stat_basis,dominant,route,scale,model,atmos,gf,route_basis
Fe,I,VIS,kpno_solar_atlas,1D-LTE,ProfileFitHandler,7.445,13,0,0.0624,0.0769,"measured — RMS of the random terms, 0.06243 dex at n_lines=13",gf scale (cited lab),ew,1D-LTE,none,atlas9,kurucz,handler
Fe,I,VIS,kpno_solar_atlas,ENGINE-A,ProfileFitHandler,7.455,12,1,0.0665,0.0746,"measured — RMS of the random terms, 0.06647 dex at n_lines=12",gf scale (cited lab),ew,1D-NLTE,bergemann,atlas9,kurucz,handler
Fe,I,VIS,kpno_solar_atlas,ENGINE-B,SynthesisHandler,7.479,9,4,0.0429,0.0794,"measured — RMS of the random terms, 0.04294 dex at n_lines=9",gf scale (cited lab),synth,1D-LTE,none,atlas9,kurucz,handler
