element,ion,band,instrument,treatment,A,n_lines,stat_dex,syst_dex,scatter,vs_vis_dex,vs_vis_sigma,gf_tier
Fe,I,red-optical,kpno_solar_atlas,1D-LTE,7.533,29,0.0289,0.0432,0.156,0.067,1.2,laboratory (<=0.04 dex)
Fe,I,red-optical,kpno_solar_atlas,ENGINE-A,7.571,14,0.0548,0.0422,0.205,0.105,1.5,laboratory (<=0.04 dex)
Fe,I,red-optical,kpno_solar_atlas,ENGINE-B,7.602,14,0.0633,0.043,0.237,0.136,1.7,laboratory (<=0.04 dex)
