element,ion,band,instrument,treatment,A,n_lines,n_excluded,stat_dex,syst_dex,dominant
Fe,I,red-optical,kpno_solar_atlas,1D-LTE,7.639,101,2,0.0355,0.1731,gf scale (UNGRADED)
Fe,I,red-optical,kpno_solar_atlas,ENGINE-A,7.645,44,57,0.0494,0.1731,gf scale (UNGRADED)
