element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,I,6916.6795,kpno_solar_atlas,73.41843468431539,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001598; sigma_fit=0.0246 A (init 0.0397, floor 0.0059); ew_err=2.03 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0688",7.62109375,-4.974092531223791,1D-LTE,True,
Fe,I,6951.2454,kpno_solar_atlas,67.22685202776077,"PROFILE-FIT (voigt), model integrated; chi2_red=0.002439; sigma_fit=0.0157 A (init 0.0399, floor 0.0059); ew_err=4.17 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0692",7.427734375,-5.014519845281934,1D-LTE,True,
Fe,I,6975.4259,kpno_solar_atlas,29.10311043312986,"PROFILE-FIT (voigt), model integrated; chi2_red=2.388e-05; sigma_fit=0.0254 A (init 0.0400, floor 0.0059); ew_err=8.35 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0696",,-5.379631322302542,1D-LTE,False,"COG-INVERSION: bisection did not converge, so this EW does not map to an abundance here"
Fe,I,6977.4283,kpno_solar_atlas,45.82662741625969,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001405; sigma_fit=0.0267 A (init 0.0400, floor 0.0059); ew_err=12.89 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0696",7.5771484375,-5.182577485603412,1D-LTE,True,
Fe,I,6999.883,kpno_solar_atlas,65.4438695085171,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001218; sigma_fit=0.0337 A (init 0.0401, floor 0.0059); ew_err=11.56 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0696,lm0700",7.55078125,-5.029221811020564,1D-LTE,True,
Fe,I,7000.6143,kpno_solar_atlas,26.333824767744503,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001715; sigma_fit=0.0073 A (init 0.0401, floor 0.0059); ew_err=11.19 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0696,lm0700",7.83203125,-5.424622209457381,1D-LTE,True,
Fe,I,7032.309,kpno_solar_atlas,36.521130948699785,"PROFILE-FIT (voigt), model integrated; chi2_red=2.051e-05; sigma_fit=0.0129 A (init 0.0403, floor 0.0060); ew_err=0.71 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0700",,-5.28455372755177,1D-LTE,False,"COG-INVERSION: bisection did not converge, so this EW does not map to an abundance here"
Fe,I,7038.2199,kpno_solar_atlas,77.97530876862851,"PROFILE-FIT (voigt), model integrated; chi2_red=0.003747; sigma_fit=0.0207 A (init 0.0404, floor 0.0060); ew_err=8.02 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0700",7.375,-4.9555057285127155,1D-LTE,True,
Fe,I,7052.715,kpno_solar_atlas,72.75096785707144,"PROFILE-FIT (voigt), model integrated; chi2_red=0.000893; sigma_fit=0.0426 A (init 0.0404, floor 0.0060); ew_err=3.52 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0704",8.7109375,-4.9865175589523,1D-LTE,True,
Fe,I,7071.8597,kpno_solar_atlas,40.14999343790621,"PROFILE-FIT (voigt), model integrated; chi2_red=2.36e-05; sigma_fit=0.0190 A (init 0.0405, floor 0.0060); ew_err=2.05 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0704",7.65625,-5.245848157403946,1D-LTE,True,
Fe,I,7086.7244,kpno_solar_atlas,30.60837502543412,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001303; sigma_fit=0.0261 A (init 0.0406, floor 0.0060); ew_err=1.36 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0708",7.4453125,-5.364605269686983,1D-LTE,True,
