element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Al,I,7084.643,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.41,,1D-LTE,True,,4.022,False,0.05810694409534873,0.34478152045700255,2.963696512712591,36.908,0.0,"none — LTE, no departure applied",native,,,,,,,,
Al,I,7362.296,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.302,,1D-LTE,True,,4.022,False,0.05222505017695955,0.53990825177128,2.8564316200659716,39.795,0.0,"none — LTE, no departure applied",native,,,,,,,,
Al,I,7836.134,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.459,,1D-LTE,True,,4.022,False,0.03524593154803038,1.9641402537464432,3.0128655708319645,42.265,0.0,"none — LTE, no departure applied",native,,,,,,,,
Al,I,8773.896,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.37,,1D-LTE,True,,4.022,False,0.04707058980191492,2.8403017396861907,2.923721865244546,59.436,0.0,"none — LTE, no departure applied",native,,,,,,,,
