wavelength_air_A,ref,gf_dex,abundance,delta,A_engineA
6999.883,2014MNRAS.,0.03,7.55078125,0.006,7.55678125
7107.4594,BWL,0.02,6.9794921875,0.013,6.9924921875
7307.9306,BWL,0.02,7.744140625,0.016,7.760140625
7320.6685,BWL,0.02,7.744140625,0.015,7.759140625
7491.6468,GESHRL14,0.03,7.55078125,0.012,7.56278125
7568.8981,GESHRL14,0.03,7.498046875,0.008,7.506046875
7941.0872,BKK,0.04,7.357421875,0.002,7.359421875
8471.7428,2014MNRAS.,0.03,7.48046875,0.014,7.49446875
8515.1084,BWL,0.02,7.62109375,0.029,7.65009375
8582.2574,BWL,0.02,7.55078125,0.029,7.57978125
8621.6006,BWL,0.02,7.568359375,0.025,7.593359375
8699.454,BWL+2014MN,0.02,7.41015625,0.009,7.41915625
8838.4281,BKK+BWL,0.04,7.65625,0.026,7.68225
9146.1275,BWL,0.02,7.76171875,0.033,7.79471875
