# RYA-395 non-Fe EW line-pool curation — Cr
# Single source: measured EW = data/measured/sol_ew_results_v1.csv;
#   atomic data (loggf/EP/nist_grade/loggf_reference) = data/linelists/canonical_gf.csv.
# Cull criteria (FIXED in advance, abundance-BLIND, uniform across elements):
#   WEAK  ew_mA < 5
#   SAT   log(EW/λ) > -4.9  (linear-COG knee) OR ew_mA > 100
#   HIERR ew_err/ew > 0.5
#   BLEND measured blend_flag OR strength-weighted contaminant opacity > 0.5
#         (NOT vald_proximity_flag — that crude flag was the known silent bug)
#   BADGF nist_grade in {D,E,F}
# gf_flag=GF_UNVERIFIED marks ungraded/Kurucz-theoretical gf (low-confidence, NOT culled);
#   a pool dominated by these with a surviving offset is a gf-scale systematic → RYA-161.
# Abundances (A_lte) are reported as VALIDATION only — never used to choose culls.
element,ion,wavelength_air_A,ew_mA,ew_err_mA,err_frac,rew,log_gf,excitation_potential_eV,nist_grade,loggf_reference,gf_tier,blend_ratio,A_lte,cull_reason,kept,gf_flag
Cr,I,5482.97816,122.29,54.6,0.44647967945048656,-4.651625570992006,-0.772,4.535,,K10,LOW,0.03034349612098872,,SAT,False,GF_UNVERIFIED
Cr,I,5507.44131,206.26,99.34,0.481625133326869,-4.426534864378461,-2.214,3.011,,K10,LOW,1.059054846756048e-06,9.569,SAT,False,GF_UNVERIFIED
Cr,I,5566.54284,192.6,26.09,0.13546209761163033,-4.460929272950272,-2.12,3.4348,,VALD3,MED,0.49625959309641604,9.652,SAT,False,
Cr,I,5609.16006,35.98,5.64,0.15675375208449138,-5.192836673972523,-1.797,3.4493,,VALD3,MED,0.0004392218164044968,,,True,
Cr,I,5641.73476,98.32,7.2,0.07323026851098455,-4.75877079454,-0.957,3.817,,K10,LOW,0.021839772379475327,7.812,SAT,False,GF_UNVERIFIED
Cr,I,5667.81511,76.25,7.23,0.09481967213114754,-4.871175826651796,-1.231,4.186,,K10,LOW,0.0010243191435606609,8.143,SAT,False,GF_UNVERIFIED
Cr,I,5674.17436,54.41,22.87,0.42032714574526747,-5.018223951063694,-2.277,3.556,,K10,LOW,0.0,8.213,,True,GF_UNVERIFIED
Cr,I,5675.07013,105.17,4.4,0.04183702576780451,-4.732079358797827,-3.248,3.556,,K10,LOW,14.07786322948233,10.212,"SAT,BLEND",False,GF_UNVERIFIED
Cr,I,5712.7714,189.93,165.25,0.8700573895645763,-4.4782532776109605,-1.049,3.011,,K10,LOW,0.0,8.303,"SAT,HIERR",False,GF_UNVERIFIED
Cr,I,5736.62535,32.05,25.6,0.7987519500780033,-5.252828453862598,-1.344,3.556,,K10,LOW,0.044618334357460786,6.773,HIERR,False,GF_UNVERIFIED
Cr,I,5788.3809,65.29,10.37,0.15882983611579105,-4.947710433200739,-1.49,3.013,,SLS,MED,0.063158774447099,7.103,,True,
Cr,I,5792.17246,100.73,71.44,0.7092226744763228,-4.759682650403853,-4.478,0.961,,K10,LOW,2.5228762677686823e-05,8.824,"SAT,HIERR",False,GF_UNVERIFIED
Cr,I,5794.629,63.03,74.32,1.179121053466603,-4.963478328443953,-0.849,4.5319,,VALD3,MED,0.031097130168808957,7.422,HIERR,False,
Cr,I,5798.50825,72.44,5.66,0.07813362782992822,-4.9033378377619945,-4.026,1.03,,K10,LOW,0.0634162756640709,7.846,,True,GF_UNVERIFIED
Cr,I,5824.14502,19.52,13.24,0.6782786885245902,-5.474752366951239,-2.161,3.111,,K10,LOW,0.0,6.833,HIERR,False,GF_UNVERIFIED
Cr,I,5837.81535,52.3,6.58,0.12581261950286807,-5.047748665274904,-1.379,4.207,,K10,LOW,5.138594213386383e-07,7.85,,True,GF_UNVERIFIED
Cr,I,5842.54096,14.46,4.01,0.27731673582295985,-5.6064334728023075,-1.754,3.011,,K10,LOW,0.008171666867736595,6.163,,True,GF_UNVERIFIED
Cr,I,5863.44672,84.22,20.08,0.23842317739254332,-4.842737746072118,-2.109,3.125,,K10,LOW,0.014766983424952177,8.163,SAT,False,GF_UNVERIFIED
Cr,I,5864.02935,22.78,27.78,1.2194907813871818,-5.410642415578794,-2.164,3.125,,K10,LOW,0.0,6.939,HIERR,False,GF_UNVERIFIED
Cr,I,5876.555,39.65,5.12,0.1291298865069357,-5.170879613513461,-2.05,3.01,,SLS,MED,0.0010724407900957267,7.114,,True,
Cr,I,5884.436,105.16,28.62,0.27215671357930776,-4.747854266325284,-2.062,3.013,,K10,LOW,0.004884658110409327,8.468,SAT,False,GF_UNVERIFIED
Cr,I,5908.23479,38.96,58.86,1.5107802874743326,-5.180838797400041,-1.963,3.013,,K10,LOW,0.006940823372597233,7.012,HIERR,False,GF_UNVERIFIED
Cr,I,5970.68948,20.68,9.17,0.4434235976789168,-5.460473950822973,-1.08,4.455,,K10,LOW,0.0014489747402198052,7.044,,True,GF_UNVERIFIED
Cr,I,5972.25997,20.96,5.46,0.26049618320610685,-5.454747425811477,-2.565,3.013,,K10,LOW,0.04737042556770823,7.178,,True,GF_UNVERIFIED
Cr,I,6025.15435,94.44,123.54,1.3081321473951717,-4.804812198565471,-1.435,3.892,,K10,LOW,0.010345150998858223,8.411,"SAT,HIERR",False,GF_UNVERIFIED
Cr,I,6172.03925,44.05,105.19,2.3879682179341657,-5.146482766471335,-1.275,4.106,,K10,LOW,6.964926143173539e-05,7.489,HIERR,False,GF_UNVERIFIED
Cr,I,6317.09764,122.89,111.74,0.9092684514606558,-4.711001045378982,-1.678,3.8887,,VALD3,MED,0.10315542029976703,,"SAT,HIERR",False,
Cr,I,6522.61267,32.3,5.24,0.16222910216718267,-5.305219067401548,-1.6265,3.891,,K10,LOW,0.001696217104753085,7.358,,True,GF_UNVERIFIED
Cr,I,6572.88451,35.02,4.67,0.13335237007424328,-5.2734398597539425,-3.853,1.004,,K10,LOW,0.0016664299641833476,6.791,,True,GF_UNVERIFIED
Cr,I,6590.50589,17.27,22.9,1.3259988419224087,-5.581626414932909,-1.154,4.133,,K10,LOW,6.546042714146325e-06,6.702,HIERR,False,GF_UNVERIFIED
Cr,I,6630.01093,5.98,0.67,0.11204013377926421,-6.044813060379375,-3.56,1.03,,MFW,MED,2.090012079320809e-06,5.552,,True,
Cr,I,6643.02501,126.96,15.54,0.1224007561436673,-4.718698973751892,-1.315,3.845,,K10,LOW,0.007661255076034231,8.715,SAT,False,GF_UNVERIFIED
Cr,I,6657.58984,18.14,4.14,0.22822491730981254,-5.5646797529581375,-1.058,4.159,,K10,LOW,0.1223981693337153,6.653,,True,GF_UNVERIFIED
Cr,I,6661.07382,24.35,1.4,0.05749486652977412,-5.437045281113413,-0.113,4.193,,VALD3,MED,0.0017409987437192339,5.906,,True,
Cr,I,6669.28092,9.17,1.66,0.18102508178844057,-5.861709675261357,-0.559,4.175,,K10,LOW,0.010381649518628602,5.816,,True,GF_UNVERIFIED
Cr,I,6680.27606,8.18,0.92,0.11246943765281174,-5.912041106237966,-0.846,4.159,,K10,LOW,0.040369461954559746,6.034,,True,GF_UNVERIFIED
Cr,I,6729.72911,27.37,4.27,0.15601023017902813,-5.390722785625152,-0.56,4.389,,K10,LOW,7.379517610350867e-05,6.631,,True,GF_UNVERIFIED
Cr,I,6734.20023,46.68,7.89,0.16902313624678664,-5.159155177879111,-0.957,4.193,,K10,LOW,2.361410133227217e-06,7.22,,True,GF_UNVERIFIED
Cr,I,6744.63336,25.42,22.79,0.8965381589299763,-5.423782800072121,-0.343,5.2741,,VALD3,MED,0.004642578300132901,,HIERR,False,
Cr,I,6751.28289,66.15,27.14,0.41027966742252453,-5.008856457508847,-0.319,5.277,,K10,LOW,8.542883725368419e-06,,,True,GF_UNVERIFIED
Cr,I,6765.34647,21.68,4.24,0.1955719557195572,-5.494230764923333,-0.204,5.2824,,VALD3,MED,0.0,,,True,
Cr,I,6882.50674,50.06,20.0,0.3995205753096284,-5.138255800095506,-0.375,3.438,,MFW,MED,1.5140203256973917e-07,5.95,,True,
Cr,II,4588.19836,83.8,17.25,0.2058472553699284,-4.738398166708637,-0.627,4.071,,PGBH,MED,0.007992324813472234,5.821,SAT,False,
Cr,II,5246.7731,237.69,26.27,0.11052210862888637,-4.343881372620385,-2.466,3.714,,VALD3,MED,1.9099417282524882,8.754,"SAT,BLEND",False,
Cr,II,5279.8777,132.64,40.18,0.3029252110977081,-4.599949349700666,-2.112,4.073,,VALD3,MED,0.12195709658790255,7.954,SAT,False,
Cr,II,5369.356,237.58,134.94,0.5679771024497011,-4.354112321592206,-3.045,3.871,,PGBH,MED,23.222493233998076,9.462,"SAT,HIERR,BLEND",False,
Cr,II,6053.4683,32.35,1.92,0.05935085007727975,-5.272129987493471,-2.229,4.745,,PGBH,MED,0.16401071857565044,6.849,,True,
