# RYA-398 graded (independent-gf) non-Fe EW line-pool curation — Ti
# Single source: measured EW = data/measured/sol_ew_results_v1.csv;
#   atomic data (loggf/EP/nist_grade/loggf_reference) = data/linelists/canonical_gf.csv.
# Cull criteria (FIXED in advance, abundance-BLIND, uniform across elements):
#   WEAK  ew_mA < 5
#   SAT   log(EW/λ) > -4.9  (linear-COG knee) OR ew_mA > 100
#   HIERR ew_err/ew > 0.5
#   BLEND measured blend_flag OR strength-weighted contaminant opacity > 0.5
#         (NOT vald_proximity_flag — that crude flag was the known silent bug)
#   BADGF nist_grade in {D,E,F}
#   GRADE gf not in ACCEPTED_GF_TIERS {HIGH,MED} — i.e. Kurucz-theoretical (K03-K10/KP) or unreferenced gf (RYA-398 independent-gf cull)
# gf_flag=GF_UNVERIFIED marks ungraded/Kurucz-theoretical gf (LOW tier).
# Abundances (A_lte) are reported as VALIDATION only — never used to choose culls.
element,ion,wavelength_air_A,ew_mA,ew_err_mA,err_frac,rew,log_gf,excitation_potential_eV,nist_grade,loggf_reference,gf_tier,blend_ratio,A_lte,cull_reason,kept,gf_flag
Ti,I,5654.76501,260.88,17.55,0.0672723091076357,-4.3359737762521195,-0.563,3.399,,K10,LOW,0.0,9.141,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,5662.15,184.37,19.42,0.10533167001139014,-4.487291114697142,0.01,2.318,,VALD3,MED,0.00047472339760452,6.912,SAT,False,
Ti,I,5679.91693,84.58,17.57,0.2077323244265784,-4.827074303296893,-0.57,2.472,,MFW,MED,0.0006558403448895495,6.642,SAT,False,
Ti,I,5689.46,20.58,15.79,0.7672497570456754,-5.441625678016241,-0.36,2.297,,VALD3,MED,0.0020022790818791714,5.073,HIERR,False,
Ti,I,5701.64598,110.35,7.44,0.0674218396012687,-4.713227910602813,-1.517,2.495,,K10,LOW,8.181482210367626e-05,8.171,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,5702.00598,178.81,22.77,0.12734187125999663,-4.5036358652603905,-1.396,2.48,,K10,LOW,0.00025116824779843034,8.684,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,5703.8981,36.52,7.97,0.21823658269441398,-5.193640989390557,-0.799,3.154,,K10,LOW,4.863198009741129e-05,6.736,GRADE,False,GF_UNVERIFIED
Ti,I,5713.88045,81.77,138.23,1.6904732787085728,-4.8443371517618115,-0.944,2.289,,K10,LOW,5.038559094708183e-06,6.947,"SAT,HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,5756.85032,33.29,0.94,0.028236707720036044,-5.237871142646022,-0.242,3.179,,K10,LOW,0.00032958723679524953,6.131,GRADE,False,GF_UNVERIFIED
Ti,I,5804.26004,104.71,12.66,0.12090535765447427,-4.743758701687719,0.71,3.337,,VALD3,MED,3.482336363052579e-05,6.463,SAT,False,
